# Step Strain Stress Density
1 3.000000e-09 3.343893e+02 2.044395e+12 
2 6.600000e-09 6.969421e+02 2.044533e+12 
3 1.092000e-08 1.208388e+03 2.044636e+12 
4 1.610400e-08 1.840725e+03 2.044609e+12 
5 2.232480e-08 2.567077e+03 2.044699e+12 
6 2.978976e-08 3.471838e+03 2.044748e+12 
7 3.874771e-08 4.258621e+03 2.045061e+12 
8 4.949725e-08 5.547165e+03 2.045189e+12 
9 6.239671e-08 7.179355e+03 2.045000e+12 
10 7.787605e-08 8.841913e+03 2.044991e+12 
11 9.645126e-08 1.075500e+04 2.045081e+12 
12 1.187415e-07 1.362100e+04 2.044631e+12 
13 1.454898e-07 1.619748e+04 2.045806e+12 
14 1.775878e-07 2.092182e+04 2.044840e+12 
15 2.161053e-07 2.585137e+04 2.044621e+12 
16 2.623264e-07 3.082882e+04 2.045430e+12 
17 3.177917e-07 3.789488e+04 2.044997e+12 
18 3.843500e-07 4.619204e+04 2.045016e+12 
19 4.642200e-07 5.414574e+04 2.047696e+12 
20 5.600640e-07 6.716318e+04 2.046895e+12 
21 6.750768e-07 8.108115e+04 2.045455e+12 
22 8.130922e-07 9.877567e+04 2.044822e+12 
23 9.787106e-07 1.196579e+05 2.044366e+12 
24 1.177453e-06 1.443455e+05 2.044264e+12 
25 1.415943e-06 1.726038e+05 2.044137e+12 
26 1.702132e-06 2.081632e+05 2.044547e+12 
27 2.045558e-06 2.501431e+05 2.044642e+12 
28 2.457670e-06 3.020812e+05 2.045101e+12 
29 2.952204e-06 3.619683e+05 2.046307e+12 
30 3.545645e-06 4.359106e+05 2.046652e+12 
31 4.257774e-06 5.216881e+05 2.047279e+12 
32 5.112328e-06 6.242180e+05 2.048246e+12 
33 6.137794e-06 7.492901e+05 2.051647e+12 
34 7.368353e-06 9.012476e+05 2.052698e+12 
35 8.845023e-06 1.085355e+06 2.049376e+12 
36 1.061703e-05 1.308011e+06 2.047697e+12 
37 1.274343e-05 1.571979e+06 2.050066e+12 
38 1.529512e-05 1.883774e+06 2.052357e+12 
39 1.835714e-05 2.260771e+06 2.057689e+12 
40 2.203157e-05 2.722063e+06 2.069040e+12 
41 2.644089e-05 3.200417e+06 2.083598e+12 
42 3.173207e-05 3.825282e+06 2.087499e+12 
43 3.808148e-05 4.588735e+06 2.089878e+12 
44 4.570077e-05 5.513158e+06 2.092871e+12 
45 5.484393e-05 6.537870e+06 2.116983e+12 
46 6.581572e-05 7.815191e+06 2.139247e+12 
47 7.898186e-05 9.353685e+06 2.141533e+12 
48 9.478123e-05 1.106228e+07 2.220235e+12 
49 1.137405e-04 1.305501e+07 2.262611e+12 
50 1.364916e-04 1.599272e+07 2.342342e+12 
51 1.637929e-04 1.853567e+07 2.438262e+12 
52 1.965545e-04 2.274312e+07 2.467005e+12 
53 2.358684e-04 2.591318e+07 2.657966e+12 
54 2.830450e-04 2.955624e+07 2.859090e+12 
55 3.396570e-04 3.447354e+07 3.061057e+12 
56 4.075914e-04 3.957544e+07 3.303558e+12 
57 4.891127e-04 4.492646e+07 3.871144e+12 
58 5.869383e-04 5.112559e+07 4.542958e+12 
59 7.043289e-04 5.602260e+07 5.806867e+12 
60 8.451977e-04 5.945780e+07 7.546831e+12 
61 1.014240e-03 5.895834e+07 9.745213e+12 
