# Step Strain Stress Density
1 1.500000e-09 1.858959e+02 2.044336e+12 
2 3.000000e-09 3.705617e+02 2.044316e+12 
3 4.800000e-09 5.942439e+02 2.044356e+12 
4 6.960000e-09 8.218910e+02 2.044469e+12 
5 9.552000e-09 1.136577e+03 2.044460e+12 
6 1.266240e-08 1.512529e+03 2.044450e+12 
7 1.639488e-08 1.991764e+03 2.044447e+12 
8 2.087386e-08 2.507157e+03 2.044444e+12 
9 2.624863e-08 3.148755e+03 2.044415e+12 
10 3.269835e-08 3.972601e+03 2.044405e+12 
11 3.656819e-08 4.436536e+03 2.044405e+12 
12 4.043802e-08 4.950009e+03 2.044418e+12 
13 4.508183e-08 5.486529e+03 2.044412e+12 
14 5.065439e-08 6.175714e+03 2.044450e+12 
15 5.734146e-08 6.984595e+03 2.044444e+12 
16 5.934759e-08 7.221288e+03 2.044435e+12 
17 6.135371e-08 7.491721e+03 2.044401e+12 
18 6.376106e-08 7.802562e+03 2.044369e+12 
19 6.664987e-08 8.182487e+03 2.044315e+12 
20 7.011645e-08 8.554234e+03 2.044289e+12 
21 7.427635e-08 9.006233e+03 2.044264e+12 
22 7.677229e-08 9.304508e+03 2.044246e+12 
23 7.926822e-08 9.562026e+03 2.044251e+12 
24 8.226335e-08 9.954537e+03 2.044222e+12 
25 8.406042e-08 1.018344e+04 2.044199e+12 
26 8.585750e-08 1.038378e+04 2.044206e+12 
27 8.693574e-08 1.048415e+04 2.044207e+12 
28 8.801399e-08 1.064593e+04 2.044188e+12 
29 8.930788e-08 1.082689e+04 2.044165e+12 
30 9.086055e-08 1.102512e+04 2.044144e+12 
31 9.179216e-08 1.110882e+04 2.044144e+12 
32 9.272376e-08 1.124207e+04 2.044133e+12 
33 9.384169e-08 1.136416e+04 2.044128e+12 
34 9.518320e-08 1.152543e+04 2.044127e+12 
35 9.679301e-08 1.171263e+04 2.044123e+12 
36 9.872478e-08 1.196582e+04 2.044097e+12 
37 1.010429e-07 1.221983e+04 2.044064e+12 
38 1.038247e-07 1.251212e+04 2.044076e+12 
