# Step Strain Stress Density
1 3.000000e-09 3.383291e+02 2.044290e+12 
2 6.600000e-09 8.248214e+02 2.044195e+12 
3 1.092000e-08 1.510608e+03 2.044009e+12 
4 1.610400e-08 2.167567e+03 2.044071e+12 
5 2.232480e-08 2.889101e+03 2.044200e+12 
6 2.978976e-08 3.742932e+03 2.044278e+12 
7 3.874771e-08 4.990167e+03 2.044209e+12 
8 4.949725e-08 6.223763e+03 2.044292e+12 
9 6.239671e-08 7.705381e+03 2.044355e+12 
10 7.787605e-08 9.685363e+03 2.044144e+12 
11 9.645126e-08 1.200626e+04 2.044122e+12 
12 1.187415e-07 1.512567e+04 2.043864e+12 
13 1.454898e-07 1.798225e+04 2.044709e+12 
14 1.775878e-07 2.291354e+04 2.043951e+12 
15 2.161053e-07 2.731490e+04 2.044278e+12 
16 2.623264e-07 3.243231e+04 2.044597e+12 
17 3.177917e-07 3.873353e+04 2.045233e+12 
18 3.843500e-07 4.685785e+04 2.044843e+12 
19 4.642200e-07 5.804676e+04 2.043282e+12 
20 5.600640e-07 6.848926e+04 2.045117e+12 
21 6.750768e-07 8.295975e+04 2.044148e+12 
22 8.130922e-07 9.734696e+04 2.045456e+12 
23 9.787106e-07 1.181385e+05 2.044609e+12 
24 1.177453e-06 1.420391e+05 2.045351e+12 
25 1.415943e-06 1.716986e+05 2.044592e+12 
26 1.702132e-06 2.085022e+05 2.043415e+12 
27 2.045558e-06 2.490998e+05 2.044562e+12 
28 2.457670e-06 2.984728e+05 2.044902e+12 
29 2.952204e-06 3.553670e+05 2.049734e+12 
30 3.545645e-06 4.281358e+05 2.048687e+12 
31 4.257774e-06 5.151347e+05 2.046255e+12 
32 5.112328e-06 6.199398e+05 2.046071e+12 
33 6.137794e-06 7.473469e+05 2.047339e+12 
34 7.368353e-06 8.962805e+05 2.050015e+12 
35 8.845023e-06 1.073782e+06 2.049182e+12 
36 1.061703e-05 1.286157e+06 2.046926e+12 
37 1.274343e-05 1.541799e+06 2.048820e+12 
38 1.529512e-05 1.847827e+06 2.049821e+12 
39 1.835714e-05 2.226088e+06 2.050116e+12 
40 2.203157e-05 2.676483e+06 2.052430e+12 
41 2.644089e-05 3.211112e+06 2.055191e+12 
42 3.173207e-05 3.872331e+06 2.061145e+12 
43 3.808148e-05 4.663128e+06 2.062796e+12 
44 4.570077e-05 5.577392e+06 2.062492e+12 
45 5.484393e-05 6.673998e+06 2.072347e+12 
46 6.581572e-05 7.991076e+06 2.076888e+12 
47 7.898186e-05 9.543430e+06 2.088345e+12 
48 9.478123e-05 1.139660e+07 2.109915e+12 
49 1.137405e-04 1.360761e+07 2.115908e+12 
50 1.364916e-04 1.620055e+07 2.131380e+12 
51 1.637929e-04 1.940827e+07 2.244563e+12 
52 1.965545e-04 2.300883e+07 2.280214e+12 
53 2.358684e-04 2.722675e+07 2.399605e+12 
54 2.830450e-04 3.222955e+07 2.454767e+12 
55 3.396570e-04 3.683293e+07 2.746270e+12 
56 4.075914e-04 4.358839e+07 3.027362e+12 
57 4.891127e-04 4.965814e+07 3.583212e+12 
58 5.869383e-04 5.570415e+07 4.298819e+12 
59 7.043289e-04 6.043761e+07 5.645249e+12 
60 8.451977e-04 6.985485e+07 6.715010e+12 
61 1.014240e-03 7.180245e+07 9.215167e+12 
62 1.217091e-03 8.064140e+07 1.142189e+13 
63 1.460513e-03 1.018586e+08 1.621854e+13 
64 1.752618e-03 1.376106e+08 2.543414e+13 
65 2.052618e-03 1.624698e+08 4.807810e+13 
