strain,screw_percent,mixed_percent,edge_percent
0.000000000000000000e+00,0.000000000000000000e+00,2.371852584336188841e+00,9.762814741566380405e+01
2.999999999999999980e-09,0.000000000000000000e+00,2.370021222943813566e+00,9.762997877705619487e+01
6.600000000000000370e-09,0.000000000000000000e+00,2.364393800301789916e+00,9.763560619969820209e+01
1.091999999999999951e-08,0.000000000000000000e+00,2.357014514733875465e+00,9.764298548526612365e+01
1.610399999999999981e-08,0.000000000000000000e+00,2.357628505636800043e+00,9.764237149436320351e+01
2.232479999999999884e-08,0.000000000000000000e+00,2.371781417401412462e+00,9.762821858259859198e+01
2.978976000000000033e-08,0.000000000000000000e+00,2.371771185856795139e+00,9.762822881414319909e+01
3.874770999999999750e-08,0.000000000000000000e+00,2.370110265167741037e+00,9.762988973483226118e+01
4.949724999999999676e-08,0.000000000000000000e+00,2.369988079295755057e+00,9.763001192070424850e+01
6.239671000000000631e-08,0.000000000000000000e+00,2.382331193848997053e+00,9.761766880615100206e+01
7.787604999999999806e-08,0.000000000000000000e+00,2.371669295507079056e+00,9.762833070449292450e+01
9.645125999999999807e-08,0.000000000000000000e+00,2.382978635312782423e+00,9.761702136468721847e+01
1.187415000000000048e-07,0.000000000000000000e+00,2.418351401911118082e+00,9.758164859808887570e+01
1.454898000000000036e-07,0.000000000000000000e+00,2.408033065656193017e+00,9.759196693434381586e+01
1.775878000000000042e-07,0.000000000000000000e+00,2.416322484865307096e+00,9.758367751513468136e+01
2.161052999999999916e-07,0.000000000000000000e+00,2.406242098090236592e+00,9.759375790190975408e+01
2.623264000000000110e-07,0.000000000000000000e+00,2.554595692141487628e+00,9.744540430785852436e+01
3.177917000000000146e-07,0.000000000000000000e+00,2.504118344691757425e+00,9.749588165530823858e+01
3.843500000000000237e-07,0.000000000000000000e+00,2.461547001263162837e+00,9.753845299873684382e+01
4.642200000000000104e-07,0.000000000000000000e+00,2.109463954615689030e+00,9.789053604538430875e+01
5.600640000000000049e-07,0.000000000000000000e+00,2.449591857340862155e+00,9.755040814265915117e+01
6.750768000000000195e-07,0.000000000000000000e+00,2.550876570542290889e+00,9.744912342945769979e+01
8.130921999999999703e-07,0.000000000000000000e+00,2.671618843953260214e+00,9.732838115604674556e+01
9.787105999999999600e-07,0.000000000000000000e+00,2.574696650514358254e+00,9.742530334948563109e+01
1.177452999999999923e-06,0.000000000000000000e+00,2.658967064806498470e+00,9.734103293519351041e+01
1.415942999999999989e-06,0.000000000000000000e+00,2.579067603319929791e+00,9.742093239668005822e+01
1.702132000000000011e-06,0.000000000000000000e+00,2.599852997156322676e+00,9.740014700284366711e+01
2.045558000000000058e-06,0.000000000000000000e+00,2.406641482759176665e+00,9.759335851724081579e+01
2.457669999999999798e-06,0.000000000000000000e+00,2.412588841627122171e+00,9.758741115837287339e+01
2.952203999999999983e-06,0.000000000000000000e+00,2.399477485657357523e+00,9.760052251434264292e+01
3.545645000000000169e-06,0.000000000000000000e+00,2.715720952085867612e+00,9.728427904791412573e+01
4.257773999999999835e-06,0.000000000000000000e+00,2.722154540721528182e+00,9.727784545927848114e+01
5.112328000000000090e-06,0.000000000000000000e+00,2.687883278476408844e+00,9.731211672152359426e+01
6.137794000000000175e-06,2.160768903397425889e-01,2.586125268812157429e+00,9.719779784084809648e+01
7.368353000000000229e-06,2.240695417606219930e-01,2.579386792563776343e+00,9.719654366567560544e+01
8.845023000000000441e-06,1.210083585118744282e-01,2.339483071678411630e+00,9.753950856980972617e+01
1.061703000000000057e-05,0.000000000000000000e+00,2.369332622101973485e+00,9.763066737789803540e+01
1.274342999999999938e-05,0.000000000000000000e+00,2.280624080806342047e+00,9.771937591919365218e+01
1.529512000000000002e-05,0.000000000000000000e+00,2.696634855786185447e+00,9.730336514421381366e+01
1.829511999999999840e-05,0.000000000000000000e+00,2.855783317068752769e+00,9.714421668293125833e+01
2.129512000000000017e-05,0.000000000000000000e+00,3.025364933715155136e+00,9.697463506628484708e+01
2.429511999999999855e-05,9.606997872027438212e-02,2.731490803227572428e+00,9.717243921805214768e+01
2.729512000000000032e-05,0.000000000000000000e+00,2.817171662766768669e+00,9.718282833723323222e+01
3.029511999999999871e-05,0.000000000000000000e+00,2.927545959659909158e+00,9.707245404034010505e+01
3.329512000000000048e-05,0.000000000000000000e+00,3.284354463276162317e+00,9.671564553672382658e+01
3.629511999999999886e-05,0.000000000000000000e+00,3.311308582053011040e+00,9.668869141794699829e+01
3.929511999999999724e-05,0.000000000000000000e+00,2.994432811857124843e+00,9.700556718814287649e+01
4.229512000000000240e-05,0.000000000000000000e+00,2.733705873735445824e+00,9.726629412626455462e+01
4.529512000000000078e-05,0.000000000000000000e+00,3.369018944349962741e+00,9.663098105565003948e+01
4.829511999999999916e-05,0.000000000000000000e+00,4.083972575685140605e+00,9.591602742431484785e+01
5.129511999999999754e-05,0.000000000000000000e+00,4.357870862825586222e+00,9.564212913717442177e+01
5.429512000000000270e-05,7.051071507097912416e-01,4.678977955926727716e+00,9.461591489336348104e+01
5.729512000000000109e-05,6.480560487238079537e-01,3.942997753832143903e+00,9.540894619744405247e+01
6.029511999999999947e-05,0.000000000000000000e+00,4.722917530520417628e+00,9.527708246947958060e+01
6.329512000000000463e-05,0.000000000000000000e+00,5.416704126393859120e+00,9.458329587360613289e+01
6.629511999999999623e-05,0.000000000000000000e+00,5.365690841025554825e+00,9.463430915897444606e+01
6.929512000000000139e-05,0.000000000000000000e+00,5.892625720012981461e+00,9.410737427998701321e+01
7.229512000000000655e-05,0.000000000000000000e+00,5.823573743130798341e+00,9.417642625686919189e+01
7.529511999999999815e-05,0.000000000000000000e+00,6.452807063904074880e+00,9.354719293609592512e+01
7.829512000000000331e-05,1.453936834758641772e-01,7.014956755136037003e+00,9.283964956138810010e+01
8.129511999999999492e-05,3.383708182158600142e-01,7.413170999249468096e+00,9.224845818253466234e+01
8.429512000000000007e-05,1.483422533067944860e-01,7.019913776388972515e+00,9.283174397030423108e+01
8.729512000000000523e-05,0.000000000000000000e+00,7.337704716062519061e+00,9.266229528393748183e+01
9.029511999999999684e-05,0.000000000000000000e+00,7.061063971721193155e+00,9.293893602827881750e+01
9.329512000000000200e-05,0.000000000000000000e+00,7.518917100629710859e+00,9.248108289937029269e+01
9.629511999999999360e-05,0.000000000000000000e+00,7.435924337760511982e+00,9.256407566223947470e+01
9.929511999999999876e-05,1.522750647748373487e-01,8.221920204068563720e+00,9.162580473115660595e+01
1.022951000000000025e-04,1.585209043746220736e-01,8.009071073431361043e+00,9.183240802219403065e+01
1.052950999999999941e-04,1.675282597499234138e-01,8.072565198112721774e+00,9.175990654213735809e+01
1.082950999999999993e-04,1.662358578965182909e-01,8.200523214639018121e+00,9.163324092746444194e+01
1.112951000000000044e-04,3.176066377320810319e-01,8.437699337183802939e+00,9.124469402508411520e+01
1.142950999999999960e-04,3.294017254108299597e-01,8.858026308459349352e+00,9.081257196612982341e+01
1.172951000000000012e-04,3.470422385836274826e-01,8.862726708683238641e+00,9.079023105273314798e+01
1.202951000000000064e-04,3.688319643095737121e-01,8.824494898491122896e+00,9.080667313719931144e+01
1.232950999999999980e-04,5.329226389850563184e-01,9.043387654599481351e+00,9.042368970641547321e+01
1.262950999999999896e-04,9.510962499684417759e-01,1.000152257653753374e+01,8.904738117349403126e+01
1.292951000000000083e-04,4.690561240420563216e-01,9.882193970449534959e+00,8.964874990550841005e+01
1.322950999999999999e-04,4.936877574621283959e-01,9.782637256525450908e+00,8.972367498601241209e+01
1.352950999999999915e-04,5.079469097532750554e-01,9.955529203026772578e+00,8.953652388721995692e+01
1.382951000000000102e-04,6.821949713258553816e-01,1.028435944016410808e+01,8.903344558851003399e+01
1.412951000000000018e-04,7.041067404959088227e-01,1.091575143479333043e+01,8.838014182471074776e+01
1.442950999999999934e-04,7.219720878123500052e-01,1.098032746542922844e+01,8.829770044675842655e+01
1.472951000000000121e-04,7.392735422285999780e-01,1.095621896283780572e+01,8.830450749493358842e+01
1.502951000000000037e-04,7.539801415479803204e-01,1.106304356984905013e+01,8.818297628860295845e+01
1.532950999999999953e-04,7.658395395404365980e-01,1.140725775320851554e+01,8.782690270725105108e+01
1.562950999999999869e-04,9.559696281713585542e-01,1.157877298259571752e+01,8.746525738923291726e+01
1.592951000000000057e-04,8.923503849970835233e-01,1.128699037584152798e+01,8.782065923916138672e+01
1.622950999999999973e-04,1.097979614554807082e+00,1.159850271201275262e+01,8.730351767343243807e+01
1.652950999999999889e-04,1.121253983466736548e+00,1.164739236941360723e+01,8.723135364711966133e+01
1.682951000000000076e-04,1.263715363905137501e+00,1.162628264636129849e+01,8.711000198973357556e+01
1.712950999999999992e-04,1.692962493981412297e+00,1.201062112480840405e+01,8.629641638121017877e+01
1.742950999999999908e-04,2.196197661848688032e+00,1.203441729345088795e+01,8.576938504470042801e+01
1.772951000000000095e-04,2.093158094771756961e+00,1.234481458910071794e+01,8.556202731612752643e+01
1.802951000000000011e-04,1.954757770453879884e+00,1.306776194555252602e+01,8.497748028399358589e+01
1.832950999999999927e-04,1.997889887677560150e+00,1.329535000591739369e+01,8.470676010640504217e+01
1.862951000000000114e-04,2.106945580682125563e+00,1.320329342288153818e+01,8.468976099643634825e+01
1.892951000000000030e-04,2.237206550727783849e+00,1.381274184004411332e+01,8.395005160922809750e+01
1.922950999999999946e-04,2.445301725564144046e+00,1.467031249935577542e+01,8.288438577508009075e+01
