# Step Strain Stress Density
1 3.000000e-09 3.385521e+02 2.044290e+12 
2 6.600000e-09 8.263199e+02 2.044184e+12 
3 1.092000e-08 1.510864e+03 2.044036e+12 
4 1.610400e-08 2.194119e+03 2.044055e+12 
5 2.232480e-08 2.764913e+03 2.044346e+12 
6 2.978976e-08 3.822221e+03 2.044342e+12 
7 3.874771e-08 4.883730e+03 2.044285e+12 
8 4.949725e-08 6.286349e+03 2.044294e+12 
9 6.239671e-08 7.644827e+03 2.044577e+12 
10 7.787605e-08 9.828075e+03 2.044351e+12 
11 9.645126e-08 1.202690e+04 2.044598e+12 
12 1.187415e-07 1.410186e+04 2.045375e+12 
13 1.454898e-07 1.783996e+04 2.045183e+12 
14 1.775878e-07 2.157907e+04 2.045412e+12 
15 2.161053e-07 2.611770e+04 2.045250e+12 
16 2.623264e-07 3.116768e+04 2.045920e+12 
17 3.177917e-07 3.858570e+04 2.044822e+12 
18 3.843500e-07 4.798276e+04 2.043901e+12 
19 4.642200e-07 5.852965e+04 2.043605e+12 
20 5.600640e-07 6.994839e+04 2.044534e+12 
21 6.750768e-07 8.390548e+04 2.044484e+12 
22 8.130922e-07 9.920279e+04 2.047164e+12 
23 9.787106e-07 1.191425e+05 2.047357e+12 
24 1.177453e-06 1.430524e+05 2.047063e+12 
25 1.415943e-06 1.738448e+05 2.045674e+12 
26 1.702132e-06 2.103327e+05 2.045206e+12 
27 2.045558e-06 2.529520e+05 2.044525e+12 
28 2.457670e-06 3.028549e+05 2.044378e+12 
29 2.952204e-06 3.629189e+05 2.044052e+12 
30 3.545645e-06 4.355467e+05 2.044388e+12 
31 4.257774e-06 5.228996e+05 2.044426e+12 
32 5.112328e-06 6.294485e+05 2.045473e+12 
33 6.137794e-06 7.555495e+05 2.047470e+12 
34 7.368353e-06 9.021514e+05 2.047094e+12 
35 8.845023e-06 1.080715e+06 2.045919e+12 
36 1.061703e-05 1.291763e+06 2.044612e+12 
37 1.274343e-05 1.553482e+06 2.045819e+12 
38 1.529512e-05 1.857779e+06 2.047603e+12 
39 1.829512e-05 2.217903e+06 2.048759e+12 
40 2.129512e-05 2.578009e+06 2.052286e+12 
41 2.429512e-05 2.948751e+06 2.051336e+12 
42 2.729512e-05 3.304004e+06 2.050852e+12 
43 3.029512e-05 3.663197e+06 2.053711e+12 
44 3.329512e-05 4.023301e+06 2.055400e+12 
45 3.629512e-05 4.381999e+06 2.056039e+12 
46 3.929512e-05 4.736521e+06 2.055913e+12 
47 4.229512e-05 5.078367e+06 2.054226e+12 
48 4.529512e-05 5.433667e+06 2.058108e+12 
49 4.829512e-05 5.782679e+06 2.062423e+12 
50 5.129512e-05 6.147244e+06 2.064701e+12 
51 5.429512e-05 6.513988e+06 2.073259e+12 
52 5.729512e-05 6.857132e+06 2.070942e+12 
53 6.029512e-05 7.210545e+06 2.063126e+12 
54 6.329512e-05 7.564264e+06 2.065418e+12 
55 6.629512e-05 7.918357e+06 2.067139e+12 
56 6.929512e-05 8.267880e+06 2.069415e+12 
57 7.229512e-05 8.605046e+06 2.071198e+12 
58 7.529512e-05 8.960698e+06 2.074943e+12 
59 7.829512e-05 9.303246e+06 2.078299e+12 
60 8.129512e-05 9.653865e+06 2.082562e+12 
61 8.429512e-05 1.001289e+07 2.077473e+12 
62 8.729512e-05 1.037615e+07 2.078267e+12 
63 9.029512e-05 1.072396e+07 2.078006e+12 
64 9.329512e-05 1.107366e+07 2.078859e+12 
65 9.629512e-05 1.142412e+07 2.081275e+12 
66 9.929512e-05 1.176857e+07 2.083928e+12 
67 1.022951e-04 1.211584e+07 2.083512e+12 
68 1.052951e-04 1.246802e+07 2.084075e+12 
69 1.082951e-04 1.282067e+07 2.087397e+12 
70 1.112951e-04 1.316943e+07 2.088881e+12 
71 1.142951e-04 1.351797e+07 2.091376e+12 
72 1.172951e-04 1.386455e+07 2.093810e+12 
73 1.202951e-04 1.420280e+07 2.095314e+12 
74 1.232951e-04 1.454925e+07 2.098287e+12 
75 1.262951e-04 1.489792e+07 2.107563e+12 
76 1.292951e-04 1.524130e+07 2.101988e+12 
77 1.322951e-04 1.557169e+07 2.100987e+12 
78 1.352951e-04 1.591042e+07 2.104522e+12 
79 1.382951e-04 1.624216e+07 2.107522e+12 
80 1.412951e-04 1.657736e+07 2.111240e+12 
81 1.442951e-04 1.691891e+07 2.112610e+12 
82 1.472951e-04 1.725236e+07 2.115119e+12 
83 1.502951e-04 1.759201e+07 2.117297e+12 
84 1.532951e-04 1.793102e+07 2.119885e+12 
85 1.562951e-04 1.826391e+07 2.124243e+12 
86 1.592951e-04 1.860247e+07 2.125977e+12 
87 1.622951e-04 1.893004e+07 2.128134e+12 
88 1.652951e-04 1.926928e+07 2.130864e+12 
89 1.682951e-04 1.960198e+07 2.134993e+12 
90 1.712951e-04 1.994198e+07 2.146030e+12 
91 1.742951e-04 2.028071e+07 2.147948e+12 
92 1.772951e-04 2.060293e+07 2.150143e+12 
93 1.802951e-04 2.092076e+07 2.151935e+12 
94 1.832951e-04 2.123058e+07 2.154626e+12 
95 1.862951e-04 2.153799e+07 2.156103e+12 
96 1.892951e-04 2.185881e+07 2.161558e+12 
97 1.922951e-04 2.217664e+07 2.166646e+12 
98 1.952951e-04 2.248766e+07 2.171382e+12 
99 1.982951e-04 2.279834e+07 2.172312e+12 
100 2.012951e-04 2.312352e+07 2.177627e+12 
101 2.042951e-04 2.344451e+07 2.185376e+12 
102 2.072951e-04 2.375749e+07 2.182724e+12 
103 2.102951e-04 2.406127e+07 2.184989e+12 
104 2.132951e-04 2.436669e+07 2.190633e+12 
105 2.162951e-04 2.468366e+07 2.198001e+12 
106 2.192951e-04 2.500522e+07 2.208689e+12 
107 2.222951e-04 2.531727e+07 2.210173e+12 
108 2.252951e-04 2.564426e+07 2.215400e+12 
109 2.282951e-04 2.596945e+07 2.221350e+12 
110 2.312951e-04 2.628483e+07 2.226508e+12 
111 2.342951e-04 2.660569e+07 2.233536e+12 
112 2.372951e-04 2.691301e+07 2.235663e+12 
113 2.402951e-04 2.723630e+07 2.247032e+12 
114 2.432951e-04 2.756840e+07 2.258706e+12 
115 2.462951e-04 2.788889e+07 2.260527e+12 
116 2.492951e-04 2.820235e+07 2.261199e+12 
117 2.522951e-04 2.852520e+07 2.265894e+12 
118 2.552951e-04 2.883014e+07 2.267223e+12 
119 2.582951e-04 2.914094e+07 2.272490e+12 
120 2.612951e-04 2.946006e+07 2.282360e+12 
121 2.642951e-04 2.978167e+07 2.291437e+12 
122 2.672951e-04 3.008073e+07 2.289835e+12 
123 2.702951e-04 3.037711e+07 2.294640e+12 
124 2.732951e-04 3.069038e+07 2.302724e+12 
125 2.762951e-04 3.100724e+07 2.307138e+12 
126 2.792951e-04 3.130928e+07 2.311304e+12 
127 2.822951e-04 3.161734e+07 2.312328e+12 
128 2.852951e-04 3.192652e+07 2.318996e+12 
129 2.882951e-04 3.222908e+07 2.329464e+12 
130 2.912951e-04 3.252537e+07 2.344102e+12 
131 2.942951e-04 3.283177e+07 2.352345e+12 
132 2.972951e-04 3.312715e+07 2.353616e+12 
133 3.002951e-04 3.341628e+07 2.357550e+12 
134 3.032951e-04 3.369521e+07 2.366766e+12 
135 3.062951e-04 3.398310e+07 2.375944e+12 
136 3.092951e-04 3.428485e+07 2.386081e+12 
137 3.122951e-04 3.457817e+07 2.396655e+12 
138 3.152951e-04 3.486446e+07 2.405162e+12 
139 3.182951e-04 3.515270e+07 2.416303e+12 
140 3.212951e-04 3.544492e+07 2.425284e+12 
141 3.242951e-04 3.573266e+07 2.435684e+12 
142 3.272951e-04 3.599721e+07 2.441962e+12 
143 3.302951e-04 3.625853e+07 2.450449e+12 
144 3.332951e-04 3.652812e+07 2.464487e+12 
145 3.362951e-04 3.679386e+07 2.473876e+12 
146 3.392951e-04 3.706292e+07 2.489665e+12 
147 3.422951e-04 3.732354e+07 2.496691e+12 
148 3.452951e-04 3.759112e+07 2.511916e+12 
149 3.482951e-04 3.785406e+07 2.524919e+12 
150 3.512951e-04 3.810590e+07 2.532718e+12 
151 3.542951e-04 3.836653e+07 2.554766e+12 
152 3.572951e-04 3.861149e+07 2.560008e+12 
153 3.602951e-04 3.885846e+07 2.570634e+12 
154 3.632951e-04 3.910136e+07 2.587004e+12 
155 3.662951e-04 3.935439e+07 2.600786e+12 
156 3.692951e-04 3.961811e+07 2.613693e+12 
157 3.722951e-04 3.986849e+07 2.627084e+12 
158 3.752951e-04 4.012464e+07 2.641149e+12 
159 3.782951e-04 4.038236e+07 2.654839e+12 
160 3.812951e-04 4.063480e+07 2.670939e+12 
161 3.842951e-04 4.088496e+07 2.686626e+12 
162 3.872951e-04 4.111499e+07 2.696774e+12 
163 3.902951e-04 4.133796e+07 2.714494e+12 
164 3.932951e-04 4.156211e+07 2.733021e+12 
165 3.962951e-04 4.179640e+07 2.744350e+12 
166 3.992951e-04 4.202029e+07 2.760013e+12 
167 4.022951e-04 4.223381e+07 2.777171e+12 
168 4.052951e-04 4.245271e+07 2.794617e+12 
169 4.082951e-04 4.268402e+07 2.813024e+12 
170 4.112951e-04 4.291059e+07 2.830938e+12 
171 4.142951e-04 4.313973e+07 2.846208e+12 
172 4.172951e-04 4.337031e+07 2.865215e+12 
173 4.202951e-04 4.360261e+07 2.882632e+12 
174 4.232951e-04 4.383351e+07 2.900694e+12 
175 4.262951e-04 4.405892e+07 2.918621e+12 
176 4.292951e-04 4.426634e+07 2.934063e+12 
177 4.322951e-04 4.446119e+07 2.954899e+12 
178 4.352951e-04 4.467666e+07 2.977312e+12 
179 4.382951e-04 4.488795e+07 2.998405e+12 
180 4.412951e-04 4.510002e+07 3.019211e+12 
181 4.442951e-04 4.530023e+07 3.036955e+12 
182 4.472951e-04 4.551400e+07 3.062154e+12 
183 4.502951e-04 4.573845e+07 3.086384e+12 
184 4.532951e-04 4.594704e+07 3.109637e+12 
185 4.562951e-04 4.614378e+07 3.120421e+12 
186 4.592951e-04 4.633606e+07 3.140374e+12 
187 4.622951e-04 4.654046e+07 3.160945e+12 
188 4.652951e-04 4.673566e+07 3.182548e+12 
189 4.682951e-04 4.693656e+07 3.204334e+12 
190 4.712951e-04 4.713131e+07 3.227006e+12 
191 4.742951e-04 4.733477e+07 3.253890e+12 
192 4.772951e-04 4.753088e+07 3.274082e+12 
193 4.802951e-04 4.772105e+07 3.290612e+12 
194 4.832951e-04 4.791295e+07 3.312083e+12 
195 4.862951e-04 4.810787e+07 3.333252e+12 
196 4.892951e-04 4.829563e+07 3.357250e+12 
197 4.922951e-04 4.846676e+07 3.380471e+12 
198 4.952951e-04 4.863541e+07 3.406156e+12 
199 4.982951e-04 4.881960e+07 3.430816e+12 
200 5.012951e-04 4.900383e+07 3.456203e+12 
201 5.042951e-04 4.918621e+07 3.481731e+12 
202 5.072951e-04 4.936931e+07 3.503401e+12 
203 5.102951e-04 4.956185e+07 3.526421e+12 
204 5.132951e-04 4.975179e+07 3.547046e+12 
205 5.162951e-04 4.994169e+07 3.570021e+12 
206 5.192951e-04 5.012687e+07 3.592842e+12 
207 5.222951e-04 5.033076e+07 3.615229e+12 
208 5.252951e-04 5.054007e+07 3.637105e+12 
209 5.282951e-04 5.074910e+07 3.658104e+12 
210 5.312951e-04 5.094783e+07 3.679224e+12 
211 5.342951e-04 5.114021e+07 3.700882e+12 
212 5.372951e-04 5.131967e+07 3.724941e+12 
213 5.402951e-04 5.150132e+07 3.750022e+12 
214 5.432951e-04 5.168166e+07 3.775021e+12 
215 5.462951e-04 5.187414e+07 3.801106e+12 
216 5.492951e-04 5.205530e+07 3.823033e+12 
217 5.522951e-04 5.223814e+07 3.841000e+12 
218 5.552951e-04 5.240128e+07 3.863205e+12 
219 5.582951e-04 5.256638e+07 3.887512e+12 
220 5.612951e-04 5.273614e+07 3.913808e+12 
221 5.642951e-04 5.289562e+07 3.937305e+12 
222 5.672951e-04 5.306610e+07 3.963135e+12 
223 5.702951e-04 5.323597e+07 3.989068e+12 
224 5.732951e-04 5.341216e+07 4.018316e+12 
225 5.762951e-04 5.358056e+07 4.042895e+12 
226 5.792951e-04 5.374099e+07 4.070442e+12 
227 5.822951e-04 5.390080e+07 4.102317e+12 
228 5.852951e-04 5.407443e+07 4.128693e+12 
229 5.882951e-04 5.426573e+07 4.156139e+12 
230 5.912951e-04 5.441883e+07 4.176726e+12 
231 5.942951e-04 5.458599e+07 4.202952e+12 
232 5.972951e-04 5.474839e+07 4.228896e+12 
233 6.002951e-04 5.492426e+07 4.251969e+12 
234 6.032951e-04 5.509233e+07 4.281060e+12 
235 6.062951e-04 5.527393e+07 4.310546e+12 
236 6.092951e-04 5.547198e+07 4.337707e+12 
237 6.122951e-04 5.564885e+07 4.358917e+12 
238 6.152951e-04 5.583060e+07 4.378235e+12 
239 6.182951e-04 5.598748e+07 4.402771e+12 
240 6.212951e-04 5.616847e+07 4.429073e+12 
241 6.242951e-04 5.635702e+07 4.452804e+12 
242 6.272951e-04 5.653111e+07 4.478832e+12 
243 6.302951e-04 5.669571e+07 4.504661e+12 
244 6.332951e-04 5.686559e+07 4.531998e+12 
245 6.362951e-04 5.703701e+07 4.557944e+12 
246 6.392951e-04 5.721656e+07 4.575348e+12 
247 6.422951e-04 5.736951e+07 4.593592e+12 
248 6.452951e-04 5.753778e+07 4.613909e+12 
249 6.482951e-04 5.770481e+07 4.647093e+12 
250 6.512951e-04 5.785516e+07 4.668651e+12 
251 6.542951e-04 5.801481e+07 4.692450e+12 
252 6.572951e-04 5.815058e+07 4.713922e+12 
253 6.602951e-04 5.831018e+07 4.738199e+12 
254 6.632951e-04 5.848659e+07 4.767033e+12 
255 6.662951e-04 5.864925e+07 4.790307e+12 
256 6.692951e-04 5.881879e+07 4.810939e+12 
257 6.722951e-04 5.897557e+07 4.830965e+12 
258 6.752951e-04 5.910357e+07 4.850492e+12 
259 6.782951e-04 5.921748e+07 4.878612e+12 
260 6.812951e-04 5.934265e+07 4.910179e+12 
261 6.842951e-04 5.948211e+07 4.943213e+12 
262 6.872951e-04 5.961439e+07 4.970046e+12 
263 6.902951e-04 5.973616e+07 4.992784e+12 
264 6.932951e-04 5.988011e+07 5.020255e+12 
265 6.962951e-04 6.001268e+07 5.049481e+12 
266 6.992951e-04 6.013699e+07 5.082695e+12 
267 7.022951e-04 6.024740e+07 5.116592e+12 
268 7.052951e-04 6.036529e+07 5.151027e+12 
269 7.082951e-04 6.047813e+07 5.184902e+12 
270 7.112951e-04 6.058406e+07 5.217958e+12 
271 7.142951e-04 6.069094e+07 5.254100e+12 
272 7.172951e-04 6.079457e+07 5.187719e+12 
273 7.202951e-04 6.088572e+07 5.204851e+12 
274 7.232951e-04 6.098827e+07 5.239034e+12 
275 7.262951e-04 6.109957e+07 5.278590e+12 
276 7.292951e-04 6.120760e+07 5.308919e+12 
277 7.322951e-04 6.132008e+07 5.267899e+12 
278 7.352951e-04 6.143611e+07 5.285029e+12 
279 7.382951e-04 6.156241e+07 5.313448e+12 
280 7.412951e-04 6.169261e+07 5.342805e+12 
281 7.442951e-04 6.182833e+07 5.374518e+12 
282 7.472951e-04 6.196136e+07 5.402057e+12 
283 7.502951e-04 6.208059e+07 5.420371e+12 
284 7.532951e-04 6.221306e+07 5.448269e+12 
285 7.562951e-04 6.234902e+07 5.479303e+12 
286 7.592951e-04 6.248634e+07 5.506200e+12 
287 7.622951e-04 6.261704e+07 5.534786e+12 
288 7.652951e-04 6.275269e+07 5.565216e+12 
289 7.682951e-04 6.289788e+07 5.595711e+12 
290 7.712951e-04 6.304469e+07 5.625495e+12 
291 7.742951e-04 6.319115e+07 5.656687e+12 
292 7.772951e-04 6.334096e+07 5.685480e+12 
293 7.802951e-04 6.349473e+07 5.714313e+12 
294 7.832951e-04 6.362577e+07 5.751652e+12 
295 7.862951e-04 6.376365e+07 5.779531e+12 
296 7.892951e-04 6.389926e+07 5.811231e+12 
297 7.922951e-04 6.403334e+07 5.842862e+12 
298 7.952951e-04 6.416536e+07 5.873060e+12 
299 7.982951e-04 6.430655e+07 5.905424e+12 
300 8.012951e-04 6.445799e+07 5.935364e+12 
301 8.042951e-04 6.460217e+07 5.966314e+12 
302 8.072951e-04 6.475706e+07 5.992854e+12 
303 8.102951e-04 6.490592e+07 6.024551e+12 
304 8.132951e-04 6.505231e+07 6.055314e+12 
305 8.162951e-04 6.520142e+07 6.085903e+12 
306 8.192951e-04 6.534318e+07 6.120182e+12 
307 8.222951e-04 6.547185e+07 6.154078e+12 
308 8.252951e-04 6.559299e+07 6.185248e+12 
309 8.282951e-04 6.570801e+07 6.218575e+12 
310 8.312951e-04 6.582293e+07 6.254576e+12 
311 8.342951e-04 6.592053e+07 6.288786e+12 
312 8.372951e-04 6.601094e+07 6.325452e+12 
313 8.402951e-04 6.609407e+07 6.364736e+12 
314 8.432951e-04 6.617721e+07 6.404313e+12 
315 8.462951e-04 6.624220e+07 6.441301e+12 
316 8.492951e-04 6.629942e+07 6.480565e+12 
317 8.522951e-04 6.634207e+07 6.521299e+12 
318 8.552951e-04 6.638116e+07 6.567008e+12 
319 8.582951e-04 6.641370e+07 6.610506e+12 
320 8.612951e-04 6.645417e+07 6.656111e+12 
321 8.642951e-04 6.650826e+07 6.697065e+12 
322 8.672951e-04 6.655656e+07 6.739386e+12 
323 8.702951e-04 6.659920e+07 6.784250e+12 
324 8.732951e-04 6.662586e+07 6.812952e+12 
