# Step Strain Stress Density
1 3.000000e-09 3.083642e+02 2.044331e+12 
2 6.600000e-09 6.516351e+02 2.044379e+12 
3 1.092000e-08 1.267412e+03 2.044286e+12 
4 1.610400e-08 1.922080e+03 2.044383e+12 
5 2.232480e-08 2.627511e+03 2.044361e+12 
6 2.978976e-08 3.471015e+03 2.044442e+12 
7 3.874771e-08 4.510040e+03 2.044489e+12 
8 4.949725e-08 5.645359e+03 2.044599e+12 
9 6.239671e-08 7.359430e+03 2.044440e+12 
10 7.787605e-08 9.132324e+03 2.044297e+12 
11 9.645126e-08 1.111696e+04 2.044516e+12 
12 1.187415e-07 1.391197e+04 2.044440e+12 
13 1.454898e-07 1.707285e+04 2.044481e+12 
14 1.775878e-07 2.165129e+04 2.043794e+12 
15 2.161053e-07 2.578977e+04 2.044639e+12 
16 2.623264e-07 3.142694e+04 2.044867e+12 
17 3.177917e-07 3.882037e+04 2.044493e+12 
18 3.843500e-07 4.726609e+04 2.044145e+12 
19 4.642200e-07 5.701124e+04 2.044228e+12 
20 5.600640e-07 6.765284e+04 2.045069e+12 
21 6.750768e-07 8.176728e+04 2.045838e+12 
22 8.130922e-07 1.005000e+05 2.044615e+12 
23 9.787106e-07 1.183044e+05 2.047456e+12 
24 1.177453e-06 1.420334e+05 2.048148e+12 
25 1.415943e-06 1.707656e+05 2.049046e+12 
26 1.702132e-06 2.058260e+05 2.048785e+12 
27 2.045558e-06 2.477237e+05 2.046901e+12 
28 2.457670e-06 2.996404e+05 2.044708e+12 
29 2.952204e-06 3.612471e+05 2.045006e+12 
30 3.545645e-06 4.344374e+05 2.044916e+12 
31 4.257774e-06 5.221249e+05 2.044994e+12 
32 5.112328e-06 6.269983e+05 2.044942e+12 
33 6.137794e-06 7.515212e+05 2.046218e+12 
34 7.368353e-06 9.017840e+05 2.048492e+12 
35 8.845023e-06 1.080220e+06 2.051918e+12 
36 1.061703e-05 1.294057e+06 2.048093e+12 
37 1.274343e-05 1.549058e+06 2.049216e+12 
38 1.529512e-05 1.864323e+06 2.049160e+12 
39 1.835714e-05 2.233087e+06 2.051567e+12 
40 2.203157e-05 2.663276e+06 2.054519e+12 
41 2.644089e-05 3.206187e+06 2.055727e+12 
42 3.173207e-05 3.828024e+06 2.059588e+12 
43 3.808148e-05 4.595042e+06 2.062714e+12 
44 4.570077e-05 5.485846e+06 2.069952e+12 
45 5.484393e-05 6.596229e+06 2.084027e+12 
46 6.581572e-05 7.891464e+06 2.098210e+12 
47 7.898186e-05 9.446604e+06 2.108236e+12 
48 9.478123e-05 1.122908e+07 2.128511e+12 
49 1.137405e-04 1.353002e+07 2.177931e+12 
50 1.364916e-04 1.614732e+07 2.225457e+12 
51 1.637929e-04 1.916716e+07 2.248331e+12 
52 1.965545e-04 2.265323e+07 2.290410e+12 
53 2.358684e-04 2.672604e+07 2.389443e+12 
54 2.830450e-04 3.184148e+07 2.519234e+12 
55 3.396570e-04 3.698602e+07 2.670885e+12 
56 4.075914e-04 4.320481e+07 2.929558e+12 
57 4.891127e-04 4.870971e+07 3.592631e+12 
58 5.869383e-04 5.515140e+07 4.370839e+12 
59 7.043289e-04 5.985806e+07 5.657791e+12 
60 8.451977e-04 6.484436e+07 7.014692e+12 
61 1.014240e-03 7.218866e+07 8.802290e+12 
62 1.217091e-03 6.742543e+07 1.323835e+13 
63 1.460513e-03 7.797036e+07 1.548913e+13 
64 1.752618e-03 8.565684e+07 2.268937e+13 
