# Step Strain Stress Density
1 3.000000e-09 3.083642e+02 2.044331e+12 
2 6.600000e-09 7.395247e+02 2.044292e+12 
3 1.092000e-08 1.077983e+03 2.044418e+12 
4 1.610400e-08 1.747218e+03 2.044269e+12 
5 2.232480e-08 2.448427e+03 2.044107e+12 
6 2.978976e-08 3.676436e+03 2.043807e+12 
7 3.874771e-08 4.673725e+03 2.043926e+12 
8 4.949725e-08 5.922019e+03 2.043906e+12 
9 6.239671e-08 7.574264e+03 2.043841e+12 
10 7.787605e-08 9.661175e+03 2.043611e+12 
11 9.645126e-08 1.168101e+04 2.043906e+12 
12 1.187415e-07 1.393624e+04 2.044318e+12 
13 1.454898e-07 1.704622e+04 2.044534e+12 
14 1.775878e-07 2.162669e+04 2.043894e+12 
15 2.161053e-07 2.658553e+04 2.043918e+12 
16 2.623264e-07 3.159479e+04 2.044569e+12 
17 3.177917e-07 3.920819e+04 2.043635e+12 
18 3.843500e-07 4.766962e+04 2.043410e+12 
19 4.642200e-07 5.749339e+04 2.043787e+12 
20 5.600640e-07 6.910064e+04 2.043683e+12 
21 6.750768e-07 8.244334e+04 2.044768e+12 
22 8.130922e-07 1.007957e+05 2.043494e+12 
23 9.787106e-07 1.222757e+05 2.043271e+12 
24 1.177453e-06 1.474996e+05 2.043943e+12 
25 1.415943e-06 1.799109e+05 2.046255e+12 
26 1.702132e-06 2.123684e+05 2.043872e+12 
27 2.045558e-06 2.536867e+05 2.043774e+12 
28 2.457670e-06 3.077617e+05 2.046703e+12 
29 2.952204e-06 3.641216e+05 2.044534e+12 
30 3.545645e-06 4.388215e+05 2.044667e+12 
31 4.257774e-06 5.234586e+05 2.047802e+12 
32 5.112328e-06 6.316150e+05 2.048130e+12 
33 6.137794e-06 7.603094e+05 2.050009e+12 
34 7.368353e-06 9.128748e+05 2.050165e+12 
35 8.845023e-06 1.087667e+06 2.048070e+12 
36 1.061703e-05 1.295622e+06 2.053257e+12 
37 1.274343e-05 1.549341e+06 2.055925e+12 
38 1.529512e-05 1.860039e+06 2.053543e+12 
39 1.829512e-05 2.231494e+06 2.050057e+12 
40 2.129512e-05 2.587448e+06 2.051130e+12 
41 2.429512e-05 2.952737e+06 2.052095e+12 
42 2.729512e-05 3.313239e+06 2.054294e+12 
43 3.029512e-05 3.684115e+06 2.056558e+12 
44 3.329512e-05 4.049380e+06 2.057841e+12 
45 3.629512e-05 4.431497e+06 2.054409e+12 
46 3.929512e-05 4.784110e+06 2.056155e+12 
47 4.229512e-05 5.144856e+06 2.057192e+12 
48 4.529512e-05 5.510326e+06 2.058872e+12 
49 4.829512e-05 5.881805e+06 2.059018e+12 
50 5.129512e-05 6.251532e+06 2.059740e+12 
51 5.429512e-05 6.604918e+06 2.069043e+12 
52 5.729512e-05 6.967328e+06 2.069965e+12 
