# Step Strain Stress Density
1 3.000000e-09 3.342917e+02 2.044395e+12 
2 6.600000e-09 8.452240e+02 2.044311e+12 
3 1.092000e-08 1.262115e+03 2.044341e+12 
4 1.610400e-08 1.783235e+03 2.044367e+12 
5 2.232480e-08 2.664461e+03 2.044129e+12 
6 2.978976e-08 3.779083e+03 2.043856e+12 
7 3.874771e-08 4.867264e+03 2.043844e+12 
8 4.949725e-08 6.180398e+03 2.043887e+12 
9 6.239671e-08 7.269999e+03 2.044406e+12 
10 7.787605e-08 9.657626e+03 2.043879e+12 
11 9.645126e-08 1.218260e+04 2.043931e+12 
12 1.187415e-07 1.484014e+04 2.044152e+12 
13 1.454898e-07 1.875644e+04 2.043819e+12 
14 1.775878e-07 2.316234e+04 2.043408e+12 
15 2.161053e-07 2.736182e+04 2.043969e+12 
16 2.623264e-07 3.382729e+04 2.042957e+12 
17 3.177917e-07 3.940719e+04 2.043181e+12 
18 3.843500e-07 4.667505e+04 2.043631e+12 
19 4.642200e-07 5.633983e+04 2.043647e+12 
20 5.600640e-07 6.699413e+04 2.043993e+12 
21 6.750768e-07 8.039768e+04 2.045123e+12 
22 8.130922e-07 9.711478e+04 2.045072e+12 
23 9.787106e-07 1.166402e+05 2.046772e+12 
24 1.177453e-06 1.426505e+05 2.044562e+12 
25 1.415943e-06 1.716439e+05 2.045540e+12 
26 1.702132e-06 2.049165e+05 2.047630e+12 
27 2.045558e-06 2.474743e+05 2.047357e+12 
28 2.457670e-06 2.971962e+05 2.047545e+12 
29 2.952204e-06 3.584993e+05 2.045870e+12 
30 3.545645e-06 4.316516e+05 2.046783e+12 
31 4.257774e-06 5.209537e+05 2.047467e+12 
32 5.112328e-06 6.217716e+05 2.048975e+12 
33 6.137794e-06 7.463830e+05 2.052352e+12 
34 7.368353e-06 8.953757e+05 2.050525e+12 
35 8.845023e-06 1.072455e+06 2.048666e+12 
36 1.061703e-05 1.289101e+06 2.047393e+12 
37 1.274343e-05 1.545029e+06 2.049359e+12 
38 1.529512e-05 1.847417e+06 2.050148e+12 
39 1.829512e-05 2.213438e+06 2.051945e+12 
40 2.129512e-05 2.574433e+06 2.054899e+12 
41 2.429512e-05 2.951019e+06 2.057800e+12 
42 2.729512e-05 3.318498e+06 2.058211e+12 
43 3.029512e-05 3.673370e+06 2.057945e+12 
44 3.329512e-05 4.038803e+06 2.056114e+12 
45 3.629512e-05 4.388313e+06 2.060308e+12 
46 3.929512e-05 4.762095e+06 2.060962e+12 
47 4.229512e-05 5.118615e+06 2.063515e+12 
48 4.529512e-05 5.481605e+06 2.064081e+12 
49 4.829512e-05 5.838082e+06 2.067563e+12 
50 5.129512e-05 6.198543e+06 2.067917e+12 
51 5.429512e-05 6.555198e+06 2.069827e+12 
52 5.729512e-05 6.911743e+06 2.069228e+12 
53 6.029512e-05 7.252524e+06 2.070542e+12 
54 6.329512e-05 7.606623e+06 2.069962e+12 
55 6.629512e-05 7.956793e+06 2.074959e+12 
56 6.929512e-05 8.319829e+06 2.076019e+12 
57 7.229512e-05 8.676198e+06 2.073841e+12 
58 7.529512e-05 9.020203e+06 2.075748e+12 
59 7.829512e-05 9.379372e+06 2.077835e+12 
60 8.129512e-05 9.722521e+06 2.076746e+12 
61 8.429512e-05 1.004910e+07 2.079013e+12 
62 8.729512e-05 1.038458e+07 2.081887e+12 
