# Step Strain Stress Density
1 1.500000e-09 -4.904354e+02 2.044331e+12 
10 1.409318e-08 8.006859e+02 2.043997e+12 
20 4.897368e-08 5.440802e+03 2.043286e+12 
30 1.130964e-07 1.333664e+04 2.043273e+12 
40 1.792787e-07 2.087397e+04 2.043682e+12 
50 2.043134e-07 2.362319e+04 2.043975e+12 
60 2.451583e-07 2.885932e+04 2.043571e+12 
70 2.629377e-07 3.116975e+04 2.043350e+12 
80 2.881755e-07 3.411433e+04 2.043452e+12 
90 3.632019e-07 4.451579e+04 2.042610e+12 
100 4.510206e-07 5.624630e+04 2.042668e+12 
110 4.995224e-07 6.199496e+04 2.042851e+12 
120 6.369460e-07 7.793785e+04 2.042989e+12 
130 7.644029e-07 9.333325e+04 2.043005e+12 
140 9.169527e-07 1.120781e+05 2.043013e+12 
150 1.055211e-06 1.288101e+05 2.043214e+12 
160 1.135109e-06 1.384739e+05 2.043040e+12 
170 1.199769e-06 1.465294e+05 2.042987e+12 
180 1.262298e-06 1.543621e+05 2.043075e+12 
190 1.352022e-06 1.651240e+05 2.043178e+12 
200 1.417736e-06 1.730119e+05 2.043241e+12 
210 1.453433e-06 1.774938e+05 2.043351e+12 
220 1.542192e-06 1.886308e+05 2.043573e+12 
230 1.642263e-06 2.002868e+05 2.043672e+12 
240 1.774039e-06 2.162007e+05 2.043643e+12 
250 1.846213e-06 2.244733e+05 2.043717e+12 
260 1.920585e-06 2.335642e+05 2.043794e+12 
270 2.020878e-06 2.455774e+05 2.044114e+12 
280 2.069390e-06 2.514646e+05 2.044342e+12 
290 2.136253e-06 2.600772e+05 2.044305e+12 
300 2.214342e-06 2.693496e+05 2.044643e+12 
310 2.257814e-06 2.750231e+05 2.044777e+12 
320 2.292139e-06 2.792842e+05 2.044671e+12 
330 2.365560e-06 2.884448e+05 2.044498e+12 
340 2.456183e-06 2.990501e+05 2.044751e+12 
350 2.557823e-06 3.106395e+05 2.045130e+12 
360 2.611382e-06 3.178677e+05 2.044595e+12 
370 2.660399e-06 3.239012e+05 2.044456e+12 
380 2.732126e-06 3.330652e+05 2.044590e+12 
390 2.848899e-06 3.466015e+05 2.044712e+12 
400 2.932519e-06 3.561452e+05 2.044626e+12 
410 2.966011e-06 3.601751e+05 2.044698e+12 
