# Step Strain Stress Density
1 3.000000e-09 3.558859e+02 2.044266e+12 
2 6.600000e-09 8.176444e+02 2.044301e+12 
3 1.092000e-08 1.376590e+03 2.044256e+12 
4 1.610400e-08 2.080295e+03 2.044188e+12 
5 2.232480e-08 2.764293e+03 2.044256e+12 
6 2.978976e-08 3.472648e+03 2.044413e+12 
7 3.874771e-08 4.741655e+03 2.044271e+12 
8 4.949725e-08 5.857066e+03 2.044366e+12 
9 6.239671e-08 7.174418e+03 2.044860e+12 
10 7.787605e-08 9.717831e+03 2.044343e+12 
11 9.645126e-08 1.151771e+04 2.044993e+12 
12 1.187415e-07 1.448703e+04 2.044835e+12 
13 1.454898e-07 1.804751e+04 2.044500e+12 
14 1.775878e-07 2.133779e+04 2.045552e+12 
15 2.161053e-07 2.706873e+04 2.044290e+12 
16 2.623264e-07 3.354927e+04 2.043423e+12 
17 3.177917e-07 3.962771e+04 2.044377e+12 
18 3.843500e-07 4.688147e+04 2.045601e+12 
19 4.642200e-07 5.784943e+04 2.044422e+12 
20 5.600640e-07 6.789123e+04 2.047137e+12 
21 6.750768e-07 8.200184e+04 2.045882e+12 
22 8.130922e-07 9.953842e+04 2.045863e+12 
23 9.787106e-07 1.196275e+05 2.044589e+12 
24 1.177453e-06 1.445368e+05 2.044451e+12 
25 1.415943e-06 1.747386e+05 2.044272e+12 
26 1.702132e-06 2.093736e+05 2.044462e+12 
27 2.045558e-06 2.515361e+05 2.043993e+12 
28 2.457670e-06 3.037721e+05 2.044676e+12 
29 2.952204e-06 3.640358e+05 2.044873e+12 
30 3.545645e-06 4.379722e+05 2.045872e+12 
31 4.257774e-06 5.237355e+05 2.045223e+12 
32 5.112328e-06 6.267065e+05 2.044512e+12 
33 6.137794e-06 7.489719e+05 2.045367e+12 
34 7.368353e-06 9.000179e+05 2.049754e+12 
35 8.845023e-06 1.079025e+06 2.050098e+12 
36 1.061703e-05 1.294417e+06 2.046251e+12 
37 1.274343e-05 1.551601e+06 2.047168e+12 
38 1.529512e-05 1.863278e+06 2.048946e+12 
39 1.835714e-05 2.242420e+06 2.049587e+12 
40 2.203157e-05 2.694055e+06 2.054458e+12 
41 2.644089e-05 3.226922e+06 2.061886e+12 
42 3.173207e-05 3.879345e+06 2.074623e+12 
43 3.808148e-05 4.661408e+06 2.067960e+12 
44 4.570077e-05 5.579207e+06 2.068262e+12 
45 5.484393e-05 6.675724e+06 2.065274e+12 
46 6.581572e-05 8.020922e+06 2.068711e+12 
47 7.898186e-05 9.570066e+06 2.088786e+12 
48 9.478123e-05 1.140942e+07 2.114743e+12 
49 1.137405e-04 1.364062e+07 2.129034e+12 
50 1.364916e-04 1.610656e+07 2.143158e+12 
51 1.637929e-04 1.933099e+07 2.163977e+12 
52 1.937929e-04 2.274786e+07 2.343244e+12 
53 2.237929e-04 2.578267e+07 2.423833e+12 
54 2.537929e-04 2.869087e+07 2.425199e+12 
55 2.837929e-04 3.147704e+07 2.580176e+12 
56 3.137929e-04 3.417069e+07 2.603638e+12 
57 3.437929e-04 3.676858e+07 2.727969e+12 
58 3.737929e-04 3.893333e+07 2.878518e+12 
59 4.037929e-04 4.172635e+07 3.024421e+12 
60 4.337929e-04 4.305586e+07 3.218445e+12 
61 4.637929e-04 4.507909e+07 3.460346e+12 
62 4.937929e-04 4.665769e+07 3.718095e+12 
