# Step Strain Stress Density
1 3.000000e-09 2.716281e+02 2.044377e+12 
2 6.600000e-09 8.435971e+02 2.044200e+12 
3 1.092000e-08 1.331447e+03 2.044264e+12 
4 1.610400e-08 1.949851e+03 2.044334e+12 
5 2.232480e-08 2.699855e+03 2.044189e+12 
6 2.978976e-08 3.649249e+03 2.044246e+12 
7 3.874771e-08 4.947090e+03 2.044042e+12 
8 4.949725e-08 5.996537e+03 2.044284e+12 
9 6.239671e-08 7.514527e+03 2.044400e+12 
10 7.787605e-08 9.543160e+03 2.044250e+12 
11 9.645126e-08 1.170896e+04 2.044183e+12 
12 1.187415e-07 1.439850e+04 2.044656e+12 
13 1.454898e-07 1.782413e+04 2.044526e+12 
14 1.775878e-07 2.288949e+04 2.043414e+12 
15 2.161053e-07 2.752141e+04 2.043435e+12 
16 2.623264e-07 3.242025e+04 2.043795e+12 
17 3.177917e-07 3.920341e+04 2.043856e+12 
18 3.843500e-07 4.773692e+04 2.043512e+12 
19 4.642200e-07 5.706051e+04 2.044342e+12 
20 5.600640e-07 6.880902e+04 2.044997e+12 
21 6.750768e-07 8.213990e+04 2.046206e+12 
22 8.130922e-07 9.883978e+04 2.046564e+12 
23 9.787106e-07 1.189019e+05 2.046295e+12 
24 1.177453e-06 1.445063e+05 2.044646e+12 
25 1.415943e-06 1.750546e+05 2.044372e+12 
26 1.702132e-06 2.095459e+05 2.044532e+12 
27 2.045558e-06 2.527243e+05 2.044094e+12 
28 2.457670e-06 3.032120e+05 2.044234e+12 
29 2.952204e-06 3.639412e+05 2.044659e+12 
30 3.545645e-06 4.389131e+05 2.044630e+12 
31 4.257774e-06 5.262348e+05 2.044959e+12 
32 5.112328e-06 6.314623e+05 2.045214e+12 
33 6.137794e-06 7.549678e+05 2.047295e+12 
34 7.368353e-06 9.030052e+05 2.050666e+12 
35 8.845023e-06 1.079934e+06 2.048732e+12 
36 1.061703e-05 1.301038e+06 2.046893e+12 
37 1.274343e-05 1.558671e+06 2.048318e+12 
38 1.529512e-05 1.871254e+06 2.049765e+12 
39 1.835714e-05 2.233629e+06 2.053925e+12 
40 2.203157e-05 2.664201e+06 2.066864e+12 
41 2.644089e-05 3.216756e+06 2.068889e+12 
42 3.173207e-05 3.889707e+06 2.068422e+12 
43 3.808148e-05 4.715343e+06 2.076350e+12 
44 4.570077e-05 5.604758e+06 2.098842e+12 
45 5.484393e-05 6.798477e+06 2.105106e+12 
46 6.581572e-05 8.001902e+06 2.137519e+12 
47 7.898186e-05 9.611995e+06 2.150420e+12 
48 9.478123e-05 1.137458e+07 2.181001e+12 
49 1.137405e-04 1.359511e+07 2.264012e+12 
50 1.364916e-04 1.635665e+07 2.298628e+12 
51 1.637929e-04 1.906587e+07 2.318476e+12 
52 1.937929e-04 2.254049e+07 2.425494e+12 
53 2.237929e-04 2.502015e+07 2.553900e+12 
54 2.537929e-04 2.848104e+07 2.593164e+12 
55 2.837929e-04 3.061378e+07 2.630128e+12 
56 3.137929e-04 3.387425e+07 2.755490e+12 
57 3.437929e-04 3.519226e+07 2.935749e+12 
58 3.737929e-04 3.850604e+07 3.066579e+12 
59 4.037929e-04 3.993569e+07 3.240795e+12 
60 4.337929e-04 4.341331e+07 3.314087e+12 
61 4.637929e-04 4.385215e+07 3.814021e+12 
62 4.937929e-04 4.666424e+07 3.858233e+12 
63 5.237929e-04 4.779642e+07 4.084783e+12 
64 5.537929e-04 4.957385e+07 4.350984e+12 
