# Step Strain Stress Density
1 3.000000e-09 2.719294e+02 2.044377e+12 
2 6.600000e-09 9.320113e+02 2.044101e+12 
3 1.092000e-08 1.380275e+03 2.044201e+12 
4 1.610400e-08 2.076261e+03 2.044076e+12 
5 2.232480e-08 2.717417e+03 2.044319e+12 
6 2.978976e-08 3.726737e+03 2.044186e+12 
7 3.874771e-08 4.969525e+03 2.044051e+12 
8 4.949725e-08 6.630303e+03 2.043604e+12 
9 6.239671e-08 7.919982e+03 2.043938e+12 
10 7.787605e-08 1.025108e+04 2.043617e+12 
11 9.645126e-08 1.226864e+04 2.043767e+12 
12 1.187415e-07 1.428948e+04 2.044450e+12 
13 1.454898e-07 1.802114e+04 2.043938e+12 
14 1.775878e-07 2.199802e+04 2.043966e+12 
15 2.161053e-07 2.684295e+04 2.043995e+12 
16 2.623264e-07 3.276241e+04 2.043762e+12 
17 3.177917e-07 3.946257e+04 2.044092e+12 
18 3.843500e-07 4.773975e+04 2.044111e+12 
19 4.642200e-07 5.776163e+04 2.044200e+12 
20 5.600640e-07 7.038808e+04 2.043904e+12 
21 6.750768e-07 8.336536e+04 2.044987e+12 
22 8.130922e-07 9.936021e+04 2.045608e+12 
23 9.787106e-07 1.206200e+05 2.044746e+12 
24 1.177453e-06 1.454368e+05 2.045284e+12 
25 1.415943e-06 1.754690e+05 2.045178e+12 
26 1.702132e-06 2.101825e+05 2.045667e+12 
27 2.045558e-06 2.494904e+05 2.048537e+12 
28 2.457670e-06 2.992713e+05 2.048911e+12 
29 2.952204e-06 3.610861e+05 2.046149e+12 
30 3.545645e-06 4.331284e+05 2.045771e+12 
31 4.257774e-06 5.212364e+05 2.046647e+12 
32 5.112328e-06 6.254727e+05 2.047475e+12 
33 6.137794e-06 7.508780e+05 2.050608e+12 
34 7.368353e-06 9.000807e+05 2.049826e+12 
35 8.845023e-06 1.078595e+06 2.045566e+12 
36 1.061703e-05 1.288442e+06 2.046503e+12 
37 1.274343e-05 1.538464e+06 2.048215e+12 
38 1.529512e-05 1.845420e+06 2.051164e+12 
39 1.835714e-05 2.211737e+06 2.052419e+12 
40 2.203157e-05 2.658698e+06 2.055162e+12 
41 2.644089e-05 3.192958e+06 2.058875e+12 
42 3.173207e-05 3.806080e+06 2.069875e+12 
43 3.808148e-05 4.620078e+06 2.080220e+12 
44 4.570077e-05 5.510212e+06 2.085262e+12 
45 5.484393e-05 6.623910e+06 2.098421e+12 
46 6.581572e-05 7.925825e+06 2.127732e+12 
47 7.898186e-05 9.437324e+06 2.154289e+12 
48 9.478123e-05 1.126001e+07 2.165150e+12 
49 1.137405e-04 1.358251e+07 2.194418e+12 
50 1.364916e-04 1.607927e+07 2.296450e+12 
51 1.637929e-04 1.912459e+07 2.338757e+12 
52 1.965545e-04 2.248764e+07 2.438538e+12 
53 2.358684e-04 2.649018e+07 2.493370e+12 
54 2.830450e-04 3.053143e+07 2.660084e+12 
55 3.396570e-04 3.564630e+07 2.904988e+12 
56 4.075914e-04 4.148015e+07 3.224595e+12 
57 4.891127e-04 4.778506e+07 3.780485e+12 
58 5.869383e-04 5.461638e+07 4.606978e+12 
