# Step Strain Stress Density
1 3.000000e-09 3.385521e+02 2.044290e+12 
2 6.600000e-09 1.007470e+03 2.044190e+12 
3 1.092000e-08 1.690373e+03 2.044022e+12 
4 1.610400e-08 2.516384e+03 2.043984e+12 
5 2.232480e-08 3.388437e+03 2.043912e+12 
6 2.978976e-08 4.410769e+03 2.043816e+12 
7 3.874771e-08 5.802854e+03 2.043630e+12 
8 4.949725e-08 6.728680e+03 2.043880e+12 
9 6.239671e-08 8.667476e+03 2.043511e+12 
10 7.787605e-08 1.101012e+04 2.043246e+12 
11 9.645126e-08 1.323964e+04 2.043212e+12 
12 1.187415e-07 1.574090e+04 2.043473e+12 
13 1.454898e-07 1.853799e+04 2.043809e+12 
14 1.775878e-07 2.223623e+04 2.043998e+12 
15 2.161053e-07 2.588731e+04 2.044830e+12 
16 2.623264e-07 3.202962e+04 2.044083e+12 
17 3.177917e-07 3.805703e+04 2.045137e+12 
18 3.843500e-07 4.528716e+04 2.046359e+12 
19 4.642200e-07 5.724243e+04 2.044247e+12 
20 5.600640e-07 6.892308e+04 2.044647e+12 
21 6.750768e-07 8.191354e+04 2.046648e+12 
22 8.130922e-07 1.007173e+05 2.044431e+12 
23 9.787106e-07 1.192737e+05 2.047089e+12 
24 1.177453e-06 1.447136e+05 2.045498e+12 
25 1.415943e-06 1.743322e+05 2.045796e+12 
26 1.702132e-06 2.070761e+05 2.049019e+12 
27 2.045558e-06 2.488261e+05 2.048460e+12 
28 2.457670e-06 3.012180e+05 2.045841e+12 
29 2.952204e-06 3.623834e+05 2.045294e+12 
30 3.545645e-06 4.360775e+05 2.046017e+12 
31 4.257774e-06 5.242392e+05 2.046241e+12 
32 5.112328e-06 6.287764e+05 2.046469e+12 
33 6.137794e-06 7.548035e+05 2.049491e+12 
34 7.368353e-06 8.983266e+05 2.049657e+12 
35 8.845023e-06 1.074457e+06 2.046686e+12 
36 1.061703e-05 1.289190e+06 2.047141e+12 
37 1.274343e-05 1.546425e+06 2.048562e+12 
38 1.529512e-05 1.849715e+06 2.050332e+12 
39 1.829512e-05 2.217718e+06 2.053071e+12 
40 2.129512e-05 2.568168e+06 2.061000e+12 
41 2.429512e-05 2.943918e+06 2.060265e+12 
42 2.729512e-05 3.301950e+06 2.070424e+12 
43 3.029512e-05 3.652320e+06 2.087845e+12 
44 3.329512e-05 4.008184e+06 2.082764e+12 
45 3.629512e-05 4.351670e+06 2.092969e+12 
46 3.929512e-05 4.716292e+06 2.082088e+12 
47 4.229512e-05 5.095315e+06 2.076828e+12 
48 4.529512e-05 5.479172e+06 2.074341e+12 
49 4.829512e-05 5.846555e+06 2.070415e+12 
50 5.129512e-05 6.218149e+06 2.071733e+12 
51 5.429512e-05 6.576043e+06 2.071296e+12 
52 5.729512e-05 6.934122e+06 2.070721e+12 
53 6.029512e-05 7.292399e+06 2.071764e+12 
54 6.329512e-05 7.662684e+06 2.072562e+12 
55 6.629512e-05 8.025184e+06 2.073378e+12 
56 6.929512e-05 8.382557e+06 2.074120e+12 
57 7.229512e-05 8.730275e+06 2.075756e+12 
58 7.529512e-05 9.079265e+06 2.076391e+12 
59 7.829512e-05 9.436285e+06 2.078054e+12 
60 8.129512e-05 9.789369e+06 2.077648e+12 
61 8.429512e-05 1.014783e+07 2.079740e+12 
62 8.729512e-05 1.048882e+07 2.083066e+12 
63 9.029512e-05 1.083708e+07 2.085575e+12 
64 9.329512e-05 1.117807e+07 2.087849e+12 
65 9.629512e-05 1.151884e+07 2.091071e+12 
66 9.929512e-05 1.184505e+07 2.091042e+12 
67 1.022951e-04 1.218366e+07 2.094247e+12 
68 1.052951e-04 1.251229e+07 2.095997e+12 
69 1.082951e-04 1.285581e+07 2.098290e+12 
70 1.112951e-04 1.318419e+07 2.100814e+12 
71 1.142951e-04 1.351584e+07 2.103648e+12 
72 1.172951e-04 1.383493e+07 2.119448e+12 
73 1.202951e-04 1.417032e+07 2.113185e+12 
74 1.232951e-04 1.450832e+07 2.110182e+12 
75 1.262951e-04 1.484715e+07 2.109892e+12 
76 1.292951e-04 1.518344e+07 2.111735e+12 
77 1.322951e-04 1.551519e+07 2.114479e+12 
78 1.352951e-04 1.583654e+07 2.116929e+12 
79 1.382951e-04 1.616981e+07 2.120003e+12 
