# Step Strain Stress Density
1 3.000000e-09 -4.162798e+02 2.044289e+12 
2 6.600000e-09 -1.866994e+02 2.043977e+12 
3 1.092000e-08 4.221011e+02 2.043898e+12 
4 1.610400e-08 1.160738e+03 2.043674e+12 
5 2.232480e-08 2.183676e+03 2.043504e+12 
6 2.978976e-08 3.230341e+03 2.043491e+12 
7 3.874771e-08 4.219478e+03 2.043547e+12 
8 4.949725e-08 5.521001e+03 2.043718e+12 
9 6.239671e-08 7.418549e+03 2.043545e+12 
10 7.787605e-08 9.248350e+03 2.043599e+12 
11 9.645126e-08 1.122547e+04 2.043759e+12 
12 1.187415e-07 1.340022e+04 2.043265e+12 
13 1.454898e-07 1.641528e+04 2.043679e+12 
14 1.775878e-07 2.078038e+04 2.043529e+12 
15 2.161053e-07 2.535879e+04 2.043283e+12 
16 2.623264e-07 3.069179e+04 2.043720e+12 
17 3.177917e-07 3.756559e+04 2.043146e+12 
18 3.843500e-07 4.492571e+04 2.044659e+12 
19 4.642200e-07 5.495402e+04 2.044285e+12 
20 5.600640e-07 6.634616e+04 2.044511e+12 
21 6.750768e-07 7.972945e+04 2.044819e+12 
22 8.130922e-07 9.587576e+04 2.045691e+12 
23 9.787106e-07 1.150260e+05 2.044594e+12 
24 1.177453e-06 1.368184e+05 2.046317e+12 
25 1.415943e-06 1.689820e+05 2.043575e+12 
26 1.702132e-06 2.024424e+05 2.046532e+12 
27 2.045558e-06 2.435027e+05 2.048365e+12 
28 2.457670e-06 2.952294e+05 2.047135e+12 
29 2.952204e-06 3.573230e+05 2.045637e+12 
30 3.545645e-06 4.285657e+05 2.047097e+12 
31 4.257774e-06 5.118468e+05 2.046891e+12 
32 5.112328e-06 6.134078e+05 2.047638e+12 
33 6.137794e-06 7.383651e+05 2.049251e+12 
34 7.368353e-06 8.887814e+05 2.051419e+12 
35 8.845023e-06 1.070500e+06 2.053479e+12 
36 1.061703e-05 1.288354e+06 2.052534e+12 
37 1.274343e-05 1.539643e+06 2.055036e+12 
38 1.529512e-05 1.853195e+06 2.050157e+12 
39 1.835714e-05 2.221614e+06 2.052204e+12 
40 2.203157e-05 2.663923e+06 2.055110e+12 
41 2.644089e-05 3.205024e+06 2.063840e+12 
42 3.173207e-05 3.861530e+06 2.076993e+12 
43 3.808148e-05 4.610752e+06 2.080777e+12 
44 4.570077e-05 5.519765e+06 2.085670e+12 
45 5.484393e-05 6.654932e+06 2.084945e+12 
46 6.581572e-05 7.967717e+06 2.087715e+12 
47 7.898186e-05 9.604721e+06 2.118403e+12 
48 9.478123e-05 1.138979e+07 2.148281e+12 
49 1.137405e-04 1.366363e+07 2.126339e+12 
50 1.364916e-04 1.620614e+07 2.138673e+12 
51 1.637929e-04 1.947953e+07 2.194513e+12 
52 1.965545e-04 2.327085e+07 2.316368e+12 
53 2.358684e-04 2.786962e+07 2.302808e+12 
54 2.830450e-04 3.305126e+07 2.381478e+12 
55 3.396570e-04 3.867394e+07 2.494995e+12 
56 4.075914e-04 4.575051e+07 2.809243e+12 
57 4.891127e-04 5.208682e+07 3.352001e+12 
58 5.869383e-04 5.916059e+07 4.008144e+12 
59 7.043289e-04 6.532142e+07 5.100543e+12 
60 8.451977e-04 7.198184e+07 6.405637e+12 
61 1.014240e-03 7.868274e+07 8.645433e+12 
