# Step Strain Stress Density
1 3.000000e-09 -1.615189e+03 2.050770e+12 
2 6.600000e-09 -1.055036e+03 2.048880e+12 
3 1.092000e-08 -4.737565e+02 2.048870e+12 
4 1.610400e-08 6.180801e+01 2.048908e+12 
5 2.232480e-08 9.825448e+02 2.048782e+12 
6 2.978976e-08 1.909848e+03 2.048702e+12 
7 3.874771e-08 3.042120e+03 2.048810e+12 
8 4.949725e-08 4.364690e+03 2.048608e+12 
9 6.239671e-08 6.467336e+03 2.048602e+12 
10 7.787605e-08 8.540692e+03 2.048663e+12 
11 9.645126e-08 1.074917e+04 2.048385e+12 
12 1.187415e-07 1.399508e+04 2.048456e+12 
13 1.454898e-07 1.742973e+04 2.048489e+12 
14 1.775878e-07 2.202232e+04 2.048373e+12 
15 2.161053e-07 2.720783e+04 2.048223e+12 
16 2.623264e-07 3.289438e+04 2.048555e+12 
17 3.177917e-07 4.057703e+04 2.048657e+12 
18 3.843500e-07 5.015757e+04 2.048305e+12 
19 4.642200e-07 6.147822e+04 2.048499e+12 
20 5.600640e-07 7.285453e+04 2.048036e+12 
21 6.750768e-07 8.723079e+04 2.047552e+12 
22 8.130922e-07 1.031241e+05 2.047855e+12 
23 9.787106e-07 1.235837e+05 2.048543e+12 
24 1.177453e-06 1.473498e+05 2.049276e+12 
25 1.415943e-06 1.749850e+05 2.050251e+12 
26 1.702132e-06 2.086982e+05 2.052704e+12 
27 2.045558e-06 2.554789e+05 2.049459e+12 
28 2.457670e-06 3.092452e+05 2.054586e+12 
29 2.952204e-06 3.651949e+05 2.052521e+12 
30 3.545645e-06 4.389865e+05 2.054036e+12 
31 4.257774e-06 5.231911e+05 2.051347e+12 
32 5.112328e-06 6.238189e+05 2.051984e+12 
33 6.137794e-06 7.498612e+05 2.051793e+12 
34 7.368353e-06 9.045924e+05 2.060644e+12 
35 8.845023e-06 1.090700e+06 2.083305e+12 
36 1.061703e-05 1.310167e+06 2.087692e+12 
37 1.274343e-05 1.572908e+06 2.080697e+12 
38 1.529512e-05 1.898397e+06 2.072943e+12 
39 1.835714e-05 2.239874e+06 2.075284e+12 
40 2.203157e-05 2.697101e+06 2.071731e+12 
41 2.644089e-05 3.262735e+06 2.059234e+12 
42 3.173207e-05 3.920716e+06 2.118913e+12 
43 3.808148e-05 4.718734e+06 2.141711e+12 
44 4.570077e-05 5.537954e+06 2.105173e+12 
45 5.484393e-05 6.681522e+06 2.095174e+12 
46 6.581572e-05 7.986287e+06 2.113489e+12 
47 7.898186e-05 9.539742e+06 2.154706e+12 
48 9.478123e-05 1.131820e+07 2.286363e+12 
49 1.137405e-04 1.363552e+07 2.334837e+12 
50 1.364916e-04 1.626281e+07 2.362252e+12 
51 1.637929e-04 1.952600e+07 2.300600e+12 
52 1.965545e-04 2.345472e+07 2.390089e+12 
53 2.358684e-04 2.774326e+07 2.406522e+12 
54 2.830450e-04 3.303613e+07 2.560094e+12 
55 3.396570e-04 3.903721e+07 2.748973e+12 
56 4.075914e-04 4.548859e+07 3.032051e+12 
57 4.891127e-04 5.211335e+07 3.724731e+12 
58 5.869383e-04 5.799863e+07 4.787488e+12 
59 7.043289e-04 6.587081e+07 5.918844e+12 
60 8.451977e-04 7.188336e+07 9.069348e+12 
