# Step Strain Stress Density
1 3.000000e-09 3.443653e+02 2.050745e+12 
2 6.600000e-09 7.977109e+02 2.050668e+12 
3 1.092000e-08 1.342969e+03 2.050681e+12 
4 1.610400e-08 2.038034e+03 2.050634e+12 
5 2.232480e-08 2.863392e+03 2.050595e+12 
6 2.978976e-08 3.701434e+03 2.050521e+12 
7 3.874771e-08 4.921071e+03 2.050572e+12 
8 4.949725e-08 6.111083e+03 2.050569e+12 
9 6.239671e-08 7.736773e+03 2.050662e+12 
10 7.787605e-08 9.843013e+03 2.051028e+12 
11 9.645126e-08 1.236108e+04 2.051012e+12 
12 1.187415e-07 1.528473e+04 2.050958e+12 
13 1.454898e-07 1.822908e+04 2.050953e+12 
14 1.775878e-07 2.235248e+04 2.050916e+12 
15 2.161053e-07 2.727542e+04 2.050999e+12 
16 2.623264e-07 3.257532e+04 2.051378e+12 
17 3.177917e-07 3.974316e+04 2.052054e+12 
18 3.843500e-07 4.818316e+04 2.053305e+12 
19 4.642200e-07 5.815024e+04 2.054253e+12 
20 5.600640e-07 7.017946e+04 2.052705e+12 
21 6.750768e-07 8.505580e+04 2.052084e+12 
22 8.130922e-07 1.033934e+05 2.050364e+12 
23 9.787106e-07 1.235079e+05 2.049551e+12 
24 1.177453e-06 1.487748e+05 2.048821e+12 
25 1.415943e-06 1.792528e+05 2.049687e+12 
26 1.702132e-06 2.132918e+05 2.050324e+12 
27 2.045558e-06 2.568675e+05 2.049870e+12 
28 2.457670e-06 3.086018e+05 2.049340e+12 
29 2.952204e-06 3.725013e+05 2.050109e+12 
30 3.545645e-06 4.426128e+05 2.050800e+12 
31 4.257774e-06 5.324905e+05 2.056099e+12 
32 5.112328e-06 6.373818e+05 2.060177e+12 
33 6.137794e-06 7.594264e+05 2.057288e+12 
34 7.368353e-06 9.094856e+05 2.053461e+12 
35 8.845023e-06 1.092593e+06 2.045709e+12 
36 1.061703e-05 1.311601e+06 2.048742e+12 
37 1.274343e-05 1.564503e+06 2.065637e+12 
38 1.529512e-05 1.871571e+06 2.069641e+12 
39 1.835714e-05 2.231877e+06 2.054182e+12 
40 2.203157e-05 2.692612e+06 2.061355e+12 
41 2.644089e-05 3.212183e+06 2.065529e+12 
42 3.173207e-05 3.862684e+06 2.112925e+12 
43 3.808148e-05 4.601001e+06 2.097592e+12 
44 4.570077e-05 5.574162e+06 2.100240e+12 
45 5.484393e-05 6.647960e+06 2.202367e+12 
46 6.581572e-05 7.957857e+06 2.159674e+12 
47 7.898186e-05 9.656561e+06 2.162200e+12 
48 9.478123e-05 1.154801e+07 2.188230e+12 
49 1.137405e-04 1.362921e+07 2.258952e+12 
50 1.364916e-04 1.638773e+07 2.332256e+12 
51 1.637929e-04 1.908029e+07 2.482636e+12 
52 1.965545e-04 2.304643e+07 2.577746e+12 
53 2.358684e-04 2.672950e+07 2.783581e+12 
54 2.830450e-04 3.148330e+07 2.923491e+12 
55 3.396570e-04 3.694497e+07 3.070733e+12 
56 4.075914e-04 4.192480e+07 3.612665e+12 
57 4.891127e-04 4.842027e+07 3.983559e+12 
58 5.869383e-04 5.727320e+07 4.618770e+12 
59 7.043289e-04 6.237656e+07 6.938049e+12 
60 8.451977e-04 6.892510e+07 8.917485e+12 
61 1.014240e-03 7.603608e+07 1.199312e+13 
62 1.217091e-03 9.065718e+07 1.435797e+13 
63 1.460513e-03 1.248851e+08 2.361866e+13 
