# Step Strain Stress Density
1 0.000000e+00 0.000000e+00 9.926395e+09 
2 0.000000e+00 0.000000e+00 9.926395e+09 
3 0.000000e+00 0.000000e+00 9.926395e+09 
4 0.000000e+00 0.000000e+00 9.926395e+09 
5 0.000000e+00 0.000000e+00 9.926395e+09 
6 0.000000e+00 0.000000e+00 9.926395e+09 
7 0.000000e+00 0.000000e+00 9.926395e+09 
8 0.000000e+00 0.000000e+00 9.926395e+09 
9 0.000000e+00 0.000000e+00 9.926396e+09 
10 0.000000e+00 0.000000e+00 9.926396e+09 
11 0.000000e+00 0.000000e+00 9.926396e+09 
12 0.000000e+00 0.000000e+00 9.926396e+09 
13 0.000000e+00 0.000000e+00 9.926396e+09 
14 0.000000e+00 0.000000e+00 9.926396e+09 
15 0.000000e+00 0.000000e+00 9.926396e+09 
16 0.000000e+00 0.000000e+00 9.926397e+09 
17 0.000000e+00 0.000000e+00 9.926398e+09 
18 0.000000e+00 0.000000e+00 9.926399e+09 
19 0.000000e+00 0.000000e+00 9.926401e+09 
20 0.000000e+00 0.000000e+00 9.926401e+09 
21 0.000000e+00 0.000000e+00 9.926402e+09 
22 0.000000e+00 0.000000e+00 9.926405e+09 
23 0.000000e+00 0.000000e+00 9.926410e+09 
24 0.000000e+00 0.000000e+00 9.926415e+09 
25 0.000000e+00 0.000000e+00 9.926427e+09 
26 0.000000e+00 0.000000e+00 9.926455e+09 
27 0.000000e+00 0.000000e+00 9.926501e+09 
28 0.000000e+00 0.000000e+00 9.926577e+09 
29 0.000000e+00 0.000000e+00 9.926695e+09 
30 0.000000e+00 0.000000e+00 9.926866e+09 
31 0.000000e+00 0.000000e+00 9.927521e+09 
32 0.000000e+00 0.000000e+00 9.929296e+09 
33 0.000000e+00 0.000000e+00 9.933867e+09 
34 0.000000e+00 0.000000e+00 9.946233e+09 
35 0.000000e+00 0.000000e+00 1.001159e+10 
36 0.000000e+00 0.000000e+00 9.926813e+09 
37 0.000000e+00 0.000000e+00 9.926957e+09 
38 0.000000e+00 0.000000e+00 9.927191e+09 
39 0.000000e+00 0.000000e+00 9.927598e+09 
40 0.000000e+00 0.000000e+00 9.928313e+09 
41 0.000000e+00 0.000000e+00 9.929564e+09 
42 0.000000e+00 0.000000e+00 9.927304e+09 
43 0.000000e+00 0.000000e+00 9.929752e+09 
44 0.000000e+00 0.000000e+00 9.927504e+09 
45 0.000000e+00 0.000000e+00 9.927803e+09 
46 0.000000e+00 0.000000e+00 9.926819e+09 
47 0.000000e+00 0.000000e+00 9.927255e+09 
48 0.000000e+00 0.000000e+00 9.928898e+09 
49 0.000000e+00 0.000000e+00 9.945842e+09 
50 0.000000e+00 0.000000e+00 9.937233e+09 
51 0.000000e+00 0.000000e+00 1.004352e+10 
52 0.000000e+00 0.000000e+00 1.041575e+10 
53 0.000000e+00 0.000000e+00 1.058329e+10 
54 0.000000e+00 0.000000e+00 1.068241e+10 
55 0.000000e+00 0.000000e+00 1.067227e+10 
56 0.000000e+00 0.000000e+00 9.969777e+09 
57 0.000000e+00 0.000000e+00 9.932570e+09 
58 0.000000e+00 0.000000e+00 9.927470e+09 
59 0.000000e+00 0.000000e+00 9.928133e+09 
60 0.000000e+00 0.000000e+00 9.927276e+09 
61 0.000000e+00 0.000000e+00 9.935627e+09 
62 0.000000e+00 0.000000e+00 9.941263e+09 
63 0.000000e+00 0.000000e+00 1.007960e+10 
64 0.000000e+00 0.000000e+00 1.038644e+10 
65 0.000000e+00 0.000000e+00 1.063270e+10 
66 0.000000e+00 0.000000e+00 1.065293e+10 
67 0.000000e+00 0.000000e+00 1.070539e+10 
68 0.000000e+00 0.000000e+00 1.007822e+10 
69 0.000000e+00 0.000000e+00 1.008134e+10 
70 0.000000e+00 0.000000e+00 1.014947e+10 
71 0.000000e+00 0.000000e+00 1.037038e+10 
72 0.000000e+00 0.000000e+00 1.045867e+10 
73 0.000000e+00 0.000000e+00 1.061436e+10 
74 0.000000e+00 0.000000e+00 1.060085e+10 
75 0.000000e+00 0.000000e+00 1.067920e+10 
76 0.000000e+00 0.000000e+00 1.068768e+10 
77 0.000000e+00 0.000000e+00 9.963626e+09 
78 0.000000e+00 0.000000e+00 9.929867e+09 
79 0.000000e+00 0.000000e+00 9.927163e+09 
80 0.000000e+00 0.000000e+00 9.927079e+09 
81 0.000000e+00 0.000000e+00 9.926758e+09 
82 0.000000e+00 0.000000e+00 9.928031e+09 
83 0.000000e+00 0.000000e+00 9.930296e+09 
84 0.000000e+00 0.000000e+00 1.003862e+10 
85 0.000000e+00 0.000000e+00 1.041929e+10 
86 0.000000e+00 0.000000e+00 1.060755e+10 
87 0.000000e+00 0.000000e+00 1.062439e+10 
88 0.000000e+00 0.000000e+00 1.070505e+10 
89 0.000000e+00 0.000000e+00 1.050547e+10 
90 0.000000e+00 0.000000e+00 1.053912e+10 
91 0.000000e+00 0.000000e+00 1.059201e+10 
92 0.000000e+00 0.000000e+00 1.069673e+10 
93 0.000000e+00 0.000000e+00 1.065624e+10 
94 0.000000e+00 0.000000e+00 1.012189e+10 
95 0.000000e+00 0.000000e+00 1.009780e+10 
96 0.000000e+00 0.000000e+00 1.024127e+10 
97 0.000000e+00 0.000000e+00 1.035881e+10 
98 0.000000e+00 0.000000e+00 1.052517e+10 
99 0.000000e+00 0.000000e+00 1.052839e+10 
100 0.000000e+00 0.000000e+00 1.068309e+10 
101 0.000000e+00 0.000000e+00 1.066428e+10 
102 0.000000e+00 0.000000e+00 1.074175e+10 
103 0.000000e+00 0.000000e+00 9.971055e+09 
104 0.000000e+00 0.000000e+00 9.930699e+09 
105 0.000000e+00 0.000000e+00 9.927192e+09 
106 0.000000e+00 0.000000e+00 9.927448e+09 
107 0.000000e+00 0.000000e+00 9.926710e+09 
108 0.000000e+00 0.000000e+00 9.929152e+09 
109 0.000000e+00 0.000000e+00 9.939237e+09 
110 0.000000e+00 0.000000e+00 1.019322e+10 
111 0.000000e+00 0.000000e+00 1.052369e+10 
112 0.000000e+00 0.000000e+00 1.065528e+10 
113 0.000000e+00 0.000000e+00 1.065284e+10 
114 0.000000e+00 0.000000e+00 1.070148e+10 
115 0.000000e+00 0.000000e+00 9.981581e+09 
116 0.000000e+00 0.000000e+00 9.933942e+09 
117 0.000000e+00 0.000000e+00 9.927242e+09 
118 0.000000e+00 0.000000e+00 9.926820e+09 
119 0.000000e+00 0.000000e+00 9.927443e+09 
120 0.000000e+00 0.000000e+00 9.926936e+09 
121 0.000000e+00 0.000000e+00 9.928281e+09 
122 0.000000e+00 0.000000e+00 9.942303e+09 
123 0.000000e+00 0.000000e+00 1.009823e+10 
124 0.000000e+00 0.000000e+00 1.030752e+10 
125 0.000000e+00 0.000000e+00 1.063562e+10 
126 0.000000e+00 0.000000e+00 1.068678e+10 
127 0.000000e+00 0.000000e+00 1.070825e+10 
128 0.000000e+00 0.000000e+00 9.965325e+09 
129 0.000000e+00 0.000000e+00 9.931789e+09 
130 0.000000e+00 0.000000e+00 9.928735e+09 
131 0.000000e+00 0.000000e+00 9.926971e+09 
132 0.000000e+00 0.000000e+00 9.931034e+09 
133 0.000000e+00 0.000000e+00 9.931719e+09 
134 0.000000e+00 0.000000e+00 1.000102e+10 
135 0.000000e+00 0.000000e+00 1.034362e+10 
136 0.000000e+00 0.000000e+00 1.057724e+10 
137 0.000000e+00 0.000000e+00 1.060603e+10 
138 0.000000e+00 0.000000e+00 1.067714e+10 
139 0.000000e+00 0.000000e+00 1.065237e+10 
140 0.000000e+00 0.000000e+00 9.962496e+09 
141 0.000000e+00 0.000000e+00 9.928626e+09 
142 0.000000e+00 0.000000e+00 9.927049e+09 
143 0.000000e+00 0.000000e+00 9.927290e+09 
144 0.000000e+00 0.000000e+00 9.927949e+09 
145 0.000000e+00 0.000000e+00 9.926674e+09 
146 0.000000e+00 0.000000e+00 9.938435e+09 
147 0.000000e+00 0.000000e+00 1.008111e+10 
148 0.000000e+00 0.000000e+00 1.049697e+10 
149 0.000000e+00 0.000000e+00 1.055549e+10 
150 0.000000e+00 0.000000e+00 1.066145e+10 
151 0.000000e+00 0.000000e+00 1.066194e+10 
152 0.000000e+00 0.000000e+00 1.053150e+10 
153 0.000000e+00 0.000000e+00 1.049185e+10 
154 0.000000e+00 0.000000e+00 1.062316e+10 
155 0.000000e+00 0.000000e+00 1.067082e+10 
156 0.000000e+00 0.000000e+00 1.074932e+10 
157 0.000000e+00 0.000000e+00 1.009519e+10 
158 0.000000e+00 0.000000e+00 1.010015e+10 
159 0.000000e+00 0.000000e+00 1.020447e+10 
160 0.000000e+00 0.000000e+00 1.038251e+10 
161 0.000000e+00 0.000000e+00 1.049778e+10 
162 0.000000e+00 0.000000e+00 1.062299e+10 
163 0.000000e+00 0.000000e+00 1.058676e+10 
164 0.000000e+00 0.000000e+00 1.070359e+10 
165 0.000000e+00 0.000000e+00 1.067066e+10 
166 0.000000e+00 0.000000e+00 9.961718e+09 
167 0.000000e+00 0.000000e+00 9.928554e+09 
168 0.000000e+00 0.000000e+00 9.926880e+09 
169 0.000000e+00 0.000000e+00 9.927029e+09 
170 0.000000e+00 0.000000e+00 9.927301e+09 
171 0.000000e+00 0.000000e+00 9.926515e+09 
172 0.000000e+00 0.000000e+00 9.934389e+09 
173 0.000000e+00 0.000000e+00 1.001242e+10 
