# Step Strain Stress Density
1 3.000000e-09 5.973543e+02 9.763020e+09 
2 6.600000e-09 1.314178e+03 9.763020e+09 
3 1.092000e-08 2.174367e+03 9.763019e+09 
4 1.610400e-08 3.206594e+03 9.763018e+09 
5 2.232480e-08 4.445266e+03 9.763017e+09 
6 2.978976e-08 5.931663e+03 9.763015e+09 
7 3.874771e-08 7.715339e+03 9.763014e+09 
8 4.949725e-08 9.855753e+03 9.763012e+09 
9 6.239671e-08 1.242424e+04 9.763010e+09 
10 7.787605e-08 1.550644e+04 9.763008e+09 
11 9.645126e-08 1.920507e+04 9.763006e+09 
12 1.187415e-07 2.364343e+04 9.763003e+09 
13 1.454898e-07 2.896943e+04 9.763000e+09 
14 1.775878e-07 3.536061e+04 9.763000e+09 
15 2.161053e-07 4.303000e+04 9.763000e+09 
16 2.623264e-07 5.223322e+04 9.763001e+09 
17 3.177917e-07 6.327701e+04 9.763002e+09 
18 3.843500e-07 7.652949e+04 9.763003e+09 
19 4.642200e-07 9.243226e+04 9.763009e+09 
20 5.600640e-07 1.115153e+05 9.763016e+09 
21 6.750768e-07 1.344148e+05 9.763025e+09 
22 8.130922e-07 1.618937e+05 9.763036e+09 
23 9.787106e-07 1.948677e+05 9.763053e+09 
24 1.177453e-06 2.344357e+05 9.763076e+09 
25 1.415943e-06 2.819160e+05 9.763106e+09 
26 1.702132e-06 3.388906e+05 9.763145e+09 
27 2.045558e-06 4.072575e+05 9.763197e+09 
28 2.457670e-06 4.892942e+05 9.763270e+09 
29 2.952204e-06 5.877326e+05 9.763400e+09 
30 3.545645e-06 7.058508e+05 9.763632e+09 
31 4.257774e-06 8.475820e+05 9.764086e+09 
32 5.112328e-06 1.017644e+06 9.765107e+09 
33 6.137794e-06 1.221737e+06 9.763943e+09 
34 7.368353e-06 1.466622e+06 9.764022e+09 
35 8.845023e-06 1.760453e+06 9.764274e+09 
36 1.061703e-05 2.113107e+06 9.764221e+09 
37 1.274343e-05 2.536163e+06 9.764941e+09 
38 1.529512e-05 3.043891e+06 9.765523e+09 
39 1.835714e-05 3.653177e+06 9.766473e+09 
40 2.203157e-05 4.384000e+06 9.769672e+09 
41 2.644089e-05 5.260999e+06 9.774087e+09 
42 3.173207e-05 6.313135e+06 9.783298e+09 
43 3.808148e-05 7.575897e+06 9.795104e+09 
44 4.570077e-05 9.090916e+06 9.817132e+09 
45 5.484393e-05 1.090922e+07 9.846209e+09 
46 6.581572e-05 1.309087e+07 9.894767e+09 
47 7.898186e-05 1.570884e+07 9.965831e+09 
48 9.478123e-05 1.885042e+07 1.006718e+10 
49 1.137405e-04 2.261970e+07 1.022576e+10 
50 1.165844e-04 2.318444e+07 1.027051e+10 
51 1.194283e-04 2.374922e+07 1.031573e+10 
52 1.228409e-04 2.442718e+07 1.036441e+10 
53 1.269361e-04 2.524068e+07 1.042553e+10 
54 1.318503e-04 2.621684e+07 1.050206e+10 
55 1.377474e-04 2.738845e+07 1.058901e+10 
56 1.448239e-04 2.879406e+07 1.070576e+10 
57 1.533157e-04 3.048032e+07 1.086596e+10 
58 1.635059e-04 3.250323e+07 1.108244e+10 
59 1.757341e-04 3.492945e+07 1.138876e+10 
60 1.904079e-04 3.783711e+07 1.188410e+10 
61 1.926090e-04 3.827223e+07 1.199444e+10 
62 1.948101e-04 3.870747e+07 1.209946e+10 
63 1.974514e-04 3.922944e+07 1.223400e+10 
64 2.006209e-04 3.985531e+07 1.240991e+10 
65 2.044244e-04 4.060564e+07 1.264077e+10 
66 2.089885e-04 4.150514e+07 1.293924e+10 
67 2.144655e-04 4.258247e+07 1.334911e+10 
68 2.210379e-04 4.387161e+07 1.392658e+10 
69 2.289247e-04 4.541113e+07 1.478606e+10 
70 2.383889e-04 4.724449e+07 1.608800e+10 
71 2.497460e-04 4.941240e+07 1.822965e+10 
72 2.505978e-04 4.957280e+07 1.843323e+10 
73 2.514496e-04 4.973300e+07 1.863824e+10 
74 2.524717e-04 4.992497e+07 1.888579e+10 
75 2.536983e-04 5.015430e+07 1.920652e+10 
76 2.551701e-04 5.042897e+07 1.958940e+10 
77 2.569364e-04 5.075698e+07 2.007673e+10 
78 2.590559e-04 5.114843e+07 2.069285e+10 
79 2.615993e-04 5.161471e+07 2.148096e+10 
80 2.646514e-04 5.216857e+07 2.251020e+10 
81 2.683139e-04 5.282461e+07 2.385585e+10 
82 2.688632e-04 5.292151e+07 2.409129e+10 
83 2.694126e-04 5.301839e+07 2.432124e+10 
84 2.700719e-04 5.313480e+07 2.458486e+10 
85 2.708630e-04 5.327360e+07 2.492157e+10 
86 2.718123e-04 5.343996e+07 2.531767e+10 
87 2.729515e-04 5.363845e+07 2.580923e+10 
88 2.743185e-04 5.387515e+07 2.641647e+10 
89 2.759589e-04 5.415676e+07 2.717650e+10 
90 2.779274e-04 5.449105e+07 2.811916e+10 
91 2.802896e-04 5.488666e+07 2.931824e+10 
92 2.809983e-04 5.500420e+07 2.969249e+10 
93 2.817069e-04 5.512116e+07 3.007479e+10 
94 2.825573e-04 5.526070e+07 3.054279e+10 
95 2.835778e-04 5.542695e+07 3.111784e+10 
96 2.848024e-04 5.562470e+07 3.182667e+10 
97 2.862719e-04 5.585931e+07 3.270500e+10 
